Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,22,55.55,0,300.0,-1,55.55,0.0,1,0.0,0,55.55,SAT,,56.121,
2,1,7,11.5,0,300.0,-1,11.5,0.0,1,0.0,1,67.05,SAT,,12.119,
3,2,7,11.64,0,15.952600583779812,-1,11.64,0.0,1,0.0,1,78.69,SAT,,12.077,
4,1,17,1.13,0,300.0,-1,1.13,0.0,1,0.0,1,79.82,SAT,,2.043,
5,3,17,0.96,0,2.4716004807233807,-1,0.96,0.0,1,0.0,1,80.77999999999999,SAT,,2.025,
6,3,7,11.96,0,88.39120044221283,-1,11.96,0.0,1,0.0,1,92.73999999999998,SAT,,12.033,
7,3,22,47.85,0,72.84320021827817,-1,47.85,0.0,1,0.0,1,140.58999999999997,SAT,,48.065,
8,3,18,0.5,0,300.0,-1,0.5,0.0,1,0.0,2,141.08999999999997,SAT,,2.043,
9,4,7,15.07,0,16.55060053651333,-1,15.07,0.0,1,0.0,2,156.15999999999997,SAT,,16.043,
10,3,16,0.66,0,300.0,-1,0.66,0.0,1,0.0,2,156.81999999999996,SAT,,2.044,
11,5,22,63.20760070194602,1,63.20760070194602,-1,0.0,0.0,0,0.0,2,156.81999999999996,TIMEOUT,,65.085,
12,3,13,300.0,0,300.0,-1,0.0,0.0,0,0.0,3,156.81999999999996,TIMEOUT,,303.364,
13,3,19,0.94,0,300.0,-1,0.94,0.0,1,0.0,3,157.75999999999996,SAT,,2.046,
14,6,22,46.12,0,63.20760070194602,-1,46.12,0.0,1,0.0,3,203.87999999999997,SAT,,48.079,
15,6,13,300.0,0,300.0,-1,0.0,0.0,0,0.0,3,203.87999999999997,TIMEOUT,,303.345,
16,6,16,0.63,0,4.11220050265193,-1,0.63,0.0,1,0.0,3,204.50999999999996,SAT,,2.023,
17,6,17,1.04,0,21.966400247412924,-1,1.04,0.0,1,0.0,3,205.54999999999995,SAT,,2.05,
18,6,7,12.25,0,20.614400606948138,-1,12.25,0.0,1,0.0,3,217.79999999999995,SAT,,14.049,
19,6,18,0.7,0,4.689400539147854,-1,0.7,0.0,1,0.0,3,218.49999999999994,SAT,,2.026,
20,6,19,0.46,0,3.7794003899872304,-1,0.46,0.0,1,0.0,3,218.95999999999995,SAT,,2.044,
21,6,3,2.87,0,300.0,-1,2.87,0.0,1,0.0,4,221.82999999999996,SAT,,4.121,
22,7,13,300.0,0,300.0,-1,0.0,0.0,0,0.0,4,221.82999999999996,TIMEOUT,,303.333,
23,7,7,13.34,0,17.74920034070611,-1,13.34,0.0,1,0.0,4,235.16999999999996,SAT,,14.06,
24,6,12,1.99,0,300.0,-1,1.99,0.0,1,0.0,4,237.15999999999997,SAT,,2.046,
25,8,3,2.49,0,4.733600270348788,-1,2.49,0.0,1,0.0,4,239.64999999999998,SAT,,4.03,
26,8,22,54.84,0,62.80720031668544,-1,54.84,0.0,1,0.0,4,294.49,SAT,,56.126,
27,6,20,0.45,0,300.0,-1,0.45,0.0,1,0.0,5,294.94,SAT,,2.11,
28,9,18,0.71,0,1.9126004617393018,-1,0.71,0.0,1,0.0,5,295.65,SAT,,2.04,
29,6,1,1.64,0,300.0,-1,1.64,0.0,1,0.0,5,297.28999999999996,SAT,,2.043,
30,10,13,300.0,0,300.0,-1,0.0,0.0,0,0.0,5,297.28999999999996,TIMEOUT,,303.324,
31,10,7,11.04,0,18.2822006460011,-1,11.04,0.0,1,0.0,5,308.33,SAT,,12.041,
32,10,17,0.63,0,3.9302003275334836,-1,0.63,0.0,1,0.0,5,308.96,SAT,,2.043,
33,10,22,54.59,0,68.22040012885928,-1,54.59,0.0,1,0.0,5,363.54999999999995,SAT,,56.076,
34,6,14,0.13,0,300.0,-1,0.13,0.0,1,0.0,6,363.67999999999995,SAT,,2.04,
35,11,17,0.81,0,2.3546006794750687,-1,0.81,0.0,1,0.0,6,364.48999999999995,SAT,,2.038,
36,11,16,0.91,0,18.04820031707287,-1,0.91,0.0,1,0.0,6,365.4,SAT,,2.038,
37,11,7,10.18,0,16.865200631666184,-1,10.18,0.0,1,0.0,6,375.58,SAT,,12.05,
