23: constrained_branching='1', dom_opt='1', f_clique_lb='16', f_clique_lb_c='2', f_deg2='90', f_deg2_heur='74', f_deg3='13', f_dom='5', f_lp='98', f_lp_lb='94', f_lp_lb_c='11', lb_opt='1', lb_opt_c='1', limit_kern_branch='139', limit_kern_start='325'
24: constrained_branching='1', dom_opt='1', f_clique_lb='55', f_clique_lb_c='2', f_deg2='7', f_deg2_heur='72', f_deg3='18', f_dom='17', f_lp='34', f_lp_lb='47', f_lp_lb_c='5', lb_opt='0', lb_opt_c='1', limit_kern_branch='325', limit_kern_start='448'
25: constrained_branching='1', dom_opt='0', f_clique_lb='16', f_clique_lb_c='3', f_deg2='90', f_deg2_heur='71', f_deg3='13', f_dom='5', f_lp='98', f_lp_lb='94', f_lp_lb_c='11', lb_opt='1', lb_opt_c='0', limit_kern_branch='139', limit_kern_start='239'
26: constrained_branching='1', dom_opt='1', f_clique_lb='34', f_clique_lb_c='19', f_deg2='63', f_deg2_heur='21', f_deg3='55', f_dom='36', f_lp='85', f_lp_lb='80', f_lp_lb_c='13', lb_opt='0', lb_opt_c='1', limit_kern_branch='151', limit_kern_start='50'
27: constrained_branching='1', dom_opt='1', f_clique_lb='16', f_clique_lb_c='6', f_deg2='90', f_deg2_heur='40', f_deg3='13', f_dom='3', f_lp='98', f_lp_lb='94', f_lp_lb_c='11', lb_opt='0', lb_opt_c='1', limit_kern_branch='139', limit_kern_start='52'
28: constrained_branching='0', dom_opt='1', f_clique_lb='61', f_clique_lb_c='12', f_deg2='52', f_deg2_heur='21', f_deg3='67', f_dom='85', f_lp='98', f_lp_lb='89', f_lp_lb_c='2', lb_opt='0', lb_opt_c='1', limit_kern_branch='138', limit_kern_start='107'
29: constrained_branching='1', dom_opt='1', f_clique_lb='16', f_clique_lb_c='7', f_deg2='90', f_deg2_heur='75', f_deg3='13', f_dom='5', f_lp='98', f_lp_lb='94', f_lp_lb_c='11', lb_opt='0', lb_opt_c='0', limit_kern_branch='139', limit_kern_start='239'
30: constrained_branching='0', dom_opt='0', f_clique_lb='55', f_clique_lb_c='19', f_deg2='66', f_deg2_heur='68', f_deg3='63', f_dom='15', f_lp='28', f_lp_lb='32', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='397', limit_kern_start='320'
31: constrained_branching='1', dom_opt='1', f_clique_lb='16', f_clique_lb_c='3', f_deg2='90', f_deg2_heur='74', f_deg3='13', f_dom='5', f_lp='98', f_lp_lb='94', f_lp_lb_c='11', lb_opt='0', lb_opt_c='1', limit_kern_branch='139', limit_kern_start='73'
32: constrained_branching='1', dom_opt='0', f_clique_lb='31', f_clique_lb_c='18', f_deg2='90', f_deg2_heur='35', f_deg3='2', f_dom='49', f_lp='89', f_lp_lb='100', f_lp_lb_c='13', lb_opt='0', lb_opt_c='1', limit_kern_branch='317', limit_kern_start='499'
33: constrained_branching='0', dom_opt='0', f_clique_lb='47', f_clique_lb_c='18', f_deg2='52', f_deg2_heur='53', f_deg3='67', f_dom='85', f_lp='98', f_lp_lb='37', f_lp_lb_c='2', lb_opt='0', lb_opt_c='1', limit_kern_branch='138', limit_kern_start='322'
34: constrained_branching='1', dom_opt='1', f_clique_lb='67', f_clique_lb_c='6', f_deg2='55', f_deg2_heur='21', f_deg3='60', f_dom='68', f_lp='41', f_lp_lb='10', f_lp_lb_c='19', lb_opt='0', lb_opt_c='1', limit_kern_branch='91', limit_kern_start='399'
35: constrained_branching='0', dom_opt='0', f_clique_lb='16', f_clique_lb_c='7', f_deg2='90', f_deg2_heur='71', f_deg3='13', f_dom='5', f_lp='98', f_lp_lb='99', f_lp_lb_c='5', lb_opt='0', lb_opt_c='1', limit_kern_branch='254', limit_kern_start='73'
36: constrained_branching='1', dom_opt='1', f_clique_lb='55', f_clique_lb_c='2', f_deg2='25', f_deg2_heur='9', f_deg3='7', f_dom='33', f_lp='69', f_lp_lb='67', f_lp_lb_c='9', lb_opt='1', lb_opt_c='0', limit_kern_branch='383', limit_kern_start='382'
37: constrained_branching='0', dom_opt='0', f_clique_lb='16', f_clique_lb_c='7', f_deg2='90', f_deg2_heur='71', f_deg3='13', f_dom='5', f_lp='98', f_lp_lb='94', f_lp_lb_c='11', lb_opt='1', lb_opt_c='1', limit_kern_branch='139', limit_kern_start='73'
38: constrained_branching='1', dom_opt='0', f_clique_lb='76', f_clique_lb_c='5', f_deg2='85', f_deg2_heur='64', f_deg3='96', f_dom='1', f_lp='55', f_lp_lb='64', f_lp_lb_c='12', lb_opt='1', lb_opt_c='1', limit_kern_branch='368', limit_kern_start='114'
39: constrained_branching='1', dom_opt='1', f_clique_lb='16', f_clique_lb_c='2', f_deg2='90', f_deg2_heur='71', f_deg3='13', f_dom='5', f_lp='98', f_lp_lb='94', f_lp_lb_c='11', lb_opt='0', lb_opt_c='0', limit_kern_branch='139', limit_kern_start='359'
40: constrained_branching='1', dom_opt='1', f_clique_lb='30', f_clique_lb_c='15', f_deg2='95', f_deg2_heur='16', f_deg3='52', f_dom='52', f_lp='73', f_lp_lb='58', f_lp_lb_c='7', lb_opt='1', lb_opt_c='1', limit_kern_branch='50', limit_kern_start='357'
41: constrained_branching='0', dom_opt='0', f_clique_lb='16', f_clique_lb_c='10', f_deg2='90', f_deg2_heur='71', f_deg3='13', f_dom='5', f_lp='98', f_lp_lb='94', f_lp_lb_c='11', lb_opt='1', lb_opt_c='1', limit_kern_branch='139', limit_kern_start='94'
42: constrained_branching='1', dom_opt='1', f_clique_lb='40', f_clique_lb_c='12', f_deg2='65', f_deg2_heur='64', f_deg3='92', f_dom='2', f_lp='30', f_lp_lb='48', f_lp_lb_c='3', lb_opt='1', lb_opt_c='0', limit_kern_branch='271', limit_kern_start='334'
43: constrained_branching='1', dom_opt='1', f_clique_lb='16', f_clique_lb_c='2', f_deg2='90', f_deg2_heur='71', f_deg3='13', f_dom='5', f_lp='98', f_lp_lb='94', f_lp_lb_c='14', lb_opt='0', lb_opt_c='0', limit_kern_branch='139', limit_kern_start='368'
44: constrained_branching='0', dom_opt='1', f_clique_lb='59', f_clique_lb_c='15', f_deg2='84', f_deg2_heur='43', f_deg3='16', f_dom='80', f_lp='84', f_lp_lb='6', f_lp_lb_c='13', lb_opt='1', lb_opt_c='1', limit_kern_branch='35', limit_kern_start='238'
45: constrained_branching='1', dom_opt='0', f_clique_lb='16', f_clique_lb_c='2', f_deg2='90', f_deg2_heur='71', f_deg3='5', f_dom='5', f_lp='98', f_lp_lb='94', f_lp_lb_c='11', lb_opt='0', lb_opt_c='0', limit_kern_branch='139', limit_kern_start='296'
46: constrained_branching='0', dom_opt='0', f_clique_lb='48', f_clique_lb_c='14', f_deg2='91', f_deg2_heur='14', f_deg3='77', f_dom='37', f_lp='76', f_lp_lb='71', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='403', limit_kern_start='415'
47: constrained_branching='1', dom_opt='0', f_clique_lb='31', f_clique_lb_c='18', f_deg2='55', f_deg2_heur='35', f_deg3='2', f_dom='49', f_lp='89', f_lp_lb='100', f_lp_lb_c='13', lb_opt='0', lb_opt_c='1', limit_kern_branch='317', limit_kern_start='499'
48: constrained_branching='0', dom_opt='0', f_clique_lb='76', f_clique_lb_c='16', f_deg2='42', f_deg2_heur='64', f_deg3='60', f_dom='23', f_lp='93', f_lp_lb='11', f_lp_lb_c='10', lb_opt='0', lb_opt_c='0', limit_kern_branch='318', limit_kern_start='250'
49: constrained_branching='0', dom_opt='1', f_clique_lb='65', f_clique_lb_c='19', f_deg2='66', f_deg2_heur='25', f_deg3='63', f_dom='15', f_lp='28', f_lp_lb='60', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='397', limit_kern_start='320'
50: constrained_branching='0', dom_opt='1', f_clique_lb='78', f_clique_lb_c='4', f_deg2='59', f_deg2_heur='94', f_deg3='84', f_dom='11', f_lp='78', f_lp_lb='91', f_lp_lb_c='16', lb_opt='0', lb_opt_c='1', limit_kern_branch='426', limit_kern_start='224'
51: constrained_branching='1', dom_opt='0', f_clique_lb='74', f_clique_lb_c='18', f_deg2='52', f_deg2_heur='53', f_deg3='49', f_dom='85', f_lp='98', f_lp_lb='65', f_lp_lb_c='10', lb_opt='0', lb_opt_c='0', limit_kern_branch='261', limit_kern_start='470'
52: constrained_branching='1', dom_opt='0', f_clique_lb='1', f_clique_lb_c='19', f_deg2='58', f_deg2_heur='97', f_deg3='75', f_dom='44', f_lp='10', f_lp_lb='72', f_lp_lb_c='16', lb_opt='1', lb_opt_c='1', limit_kern_branch='240', limit_kern_start='449'
53: constrained_branching='1', dom_opt='0', f_clique_lb='77', f_clique_lb_c='19', f_deg2='66', f_deg2_heur='56', f_deg3='63', f_dom='15', f_lp='28', f_lp_lb='28', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='397', limit_kern_start='320'
