29: constrained_branching='1', dom_opt='1', f_clique_lb='14578', f_deg2='1525', f_deg2_heur='21473', f_deg3='22778', f_dom='20711', f_lp='27188', f_lp_lb='8943', limit_kern_branch='28543', limit_kern_start='7437'
30: constrained_branching='1', dom_opt='1', f_clique_lb='34722', f_deg2='31770', f_deg2_heur='33128', f_deg3='13545', f_dom='4674', f_lp='29402', f_lp_lb='1937', limit_kern_branch='29395', limit_kern_start='13154'
31: constrained_branching='0', dom_opt='0', f_clique_lb='8900', f_deg2='25008', f_deg2_heur='16403', f_deg3='33212', f_dom='28778', f_lp='20789', f_lp_lb='12146', limit_kern_branch='12190', limit_kern_start='3614'
32: constrained_branching='1', dom_opt='0', f_clique_lb='2438', f_deg2='25145', f_deg2_heur='33270', f_deg3='37460', f_dom='1656', f_lp='15866', f_lp_lb='31', limit_kern_branch='29689', limit_kern_start='14768'
33: constrained_branching='0', dom_opt='0', f_clique_lb='37876', f_deg2='7079', f_deg2_heur='26119', f_deg3='32062', f_dom='39039', f_lp='9003', f_lp_lb='34117', limit_kern_branch='34414', limit_kern_start='26645'
34: constrained_branching='0', dom_opt='1', f_clique_lb='382', f_deg2='16920', f_deg2_heur='14390', f_deg3='12313', f_dom='9522', f_lp='10117', f_lp_lb='370', limit_kern_branch='5909', limit_kern_start='12777'
35: constrained_branching='0', dom_opt='0', f_clique_lb='19492', f_deg2='358', f_deg2_heur='29018', f_deg3='15979', f_dom='24376', f_lp='30676', f_lp_lb='801', limit_kern_branch='34435', limit_kern_start='19678'
36: constrained_branching='1', dom_opt='1', f_clique_lb='19496', f_deg2='14160', f_deg2_heur='30674', f_deg3='36613', f_dom='31045', f_lp='23231', f_lp_lb='36072', limit_kern_branch='29685', limit_kern_start='19993'
37: constrained_branching='0', dom_opt='0', f_clique_lb='7080', f_deg2='20839', f_deg2_heur='26087', f_deg3='8343', f_dom='10692', f_lp='26686', f_lp_lb='23554', limit_kern_branch='8831', limit_kern_start='22543'
38: constrained_branching='1', dom_opt='1', f_clique_lb='28468', f_deg2='31428', f_deg2_heur='1322', f_deg3='17424', f_dom='10001', f_lp='18559', f_lp_lb='28758', limit_kern_branch='36065', limit_kern_start='7834'
39: constrained_branching='0', dom_opt='0', f_clique_lb='17566', f_deg2='19922', f_deg2_heur='23822', f_deg3='26717', f_dom='6261', f_lp='18314', f_lp_lb='30314', limit_kern_branch='21261', limit_kern_start='8842'
40: constrained_branching='0', dom_opt='0', f_clique_lb='36368', f_deg2='15615', f_deg2_heur='30898', f_deg3='25542', f_dom='9809', f_lp='34270', f_lp_lb='16799', limit_kern_branch='21952', limit_kern_start='16144'
41: constrained_branching='1', dom_opt='1', f_clique_lb='14499', f_deg2='24622', f_deg2_heur='30334', f_deg3='26983', f_dom='16242', f_lp='36781', f_lp_lb='2656', limit_kern_branch='15983', limit_kern_start='9725'
42: constrained_branching='0', dom_opt='0', f_clique_lb='11555', f_deg2='18841', f_deg2_heur='3955', f_deg3='23449', f_dom='32447', f_lp='23744', f_lp_lb='36112', limit_kern_branch='20359', limit_kern_start='13455'
43: constrained_branching='0', dom_opt='1', f_clique_lb='15512', f_deg2='24088', f_deg2_heur='38027', f_deg3='39894', f_dom='2428', f_lp='21786', f_lp_lb='21077', limit_kern_branch='11247', limit_kern_start='29081'
44: constrained_branching='1', dom_opt='0', f_clique_lb='3242', f_deg2='30997', f_deg2_heur='34766', f_deg3='12782', f_dom='30603', f_lp='25972', f_lp_lb='1399', limit_kern_branch='25792', limit_kern_start='6501'
45: constrained_branching='0', dom_opt='0', f_clique_lb='9436', f_deg2='5617', f_deg2_heur='29026', f_deg3='32862', f_dom='7472', f_lp='27232', f_lp_lb='27513', limit_kern_branch='17367', limit_kern_start='18800'
46: constrained_branching='0', dom_opt='1', f_clique_lb='3637', f_deg2='7550', f_deg2_heur='27546', f_deg3='38465', f_dom='7679', f_lp='2762', f_lp_lb='35190', limit_kern_branch='18246', limit_kern_start='10416'
47: constrained_branching='0', dom_opt='0', f_clique_lb='7185', f_deg2='17715', f_deg2_heur='21698', f_deg3='30795', f_dom='34720', f_lp='8294', f_lp_lb='28432', limit_kern_branch='17405', limit_kern_start='5806'
48: constrained_branching='1', dom_opt='0', f_clique_lb='38605', f_deg2='20053', f_deg2_heur='11697', f_deg3='31433', f_dom='3141', f_lp='21393', f_lp_lb='11406', limit_kern_branch='20318', limit_kern_start='12394'
49: constrained_branching='0', dom_opt='0', f_clique_lb='452', f_deg2='21095', f_deg2_heur='24328', f_deg3='8561', f_dom='5679', f_lp='25675', f_lp_lb='263', limit_kern_branch='14058', limit_kern_start='21342'
50: constrained_branching='1', dom_opt='0', f_clique_lb='35313', f_deg2='28167', f_deg2_heur='12567', f_deg3='34064', f_dom='9192', f_lp='9512', f_lp_lb='30533', limit_kern_branch='3282', limit_kern_start='38202'
51: constrained_branching='0', dom_opt='1', f_clique_lb='211', f_deg2='2768', f_deg2_heur='14390', f_deg3='2422', f_dom='9522', f_lp='10117', f_lp_lb='370', limit_kern_branch='5909', limit_kern_start='10261'
52: constrained_branching='0', dom_opt='1', f_clique_lb='22876', f_deg2='11273', f_deg2_heur='19749', f_deg3='31416', f_dom='22005', f_lp='21179', f_lp_lb='9615', limit_kern_branch='5149', limit_kern_start='18833'
53: constrained_branching='0', dom_opt='1', f_clique_lb='3354', f_deg2='18372', f_deg2_heur='14390', f_deg3='16960', f_dom='9522', f_lp='10117', f_lp_lb='370', limit_kern_branch='5909', limit_kern_start='3163'
54: constrained_branching='1', dom_opt='0', f_clique_lb='30329', f_deg2='1409', f_deg2_heur='14007', f_deg3='232', f_dom='29011', f_lp='10640', f_lp_lb='4918', limit_kern_branch='14068', limit_kern_start='20375'
55: constrained_branching='1', dom_opt='1', f_clique_lb='32794', f_deg2='35428', f_deg2_heur='2934', f_deg3='3924', f_dom='9492', f_lp='9312', f_lp_lb='37809', limit_kern_branch='36028', limit_kern_start='5349'
56: constrained_branching='0', dom_opt='1', f_clique_lb='18683', f_deg2='9873', f_deg2_heur='18617', f_deg3='14894', f_dom='33882', f_lp='12116', f_lp_lb='17202', limit_kern_branch='14847', limit_kern_start='978'
57: constrained_branching='1', dom_opt='1', f_clique_lb='4246', f_deg2='22319', f_deg2_heur='17231', f_deg3='23992', f_dom='18210', f_lp='2247', f_lp_lb='16278', limit_kern_branch='6452', limit_kern_start='5592'
58: constrained_branching='0', dom_opt='1', f_clique_lb='3464', f_deg2='32828', f_deg2_heur='7449', f_deg3='13815', f_dom='24928', f_lp='7007', f_lp_lb='13103', limit_kern_branch='5692', limit_kern_start='37629'
59: constrained_branching='1', dom_opt='1', f_clique_lb='35148', f_deg2='14562', f_deg2_heur='4354', f_deg3='17700', f_dom='38670', f_lp='19627', f_lp_lb='9031', limit_kern_branch='8383', limit_kern_start='11339'
60: constrained_branching='1', dom_opt='1', f_clique_lb='3', f_deg2='1', f_deg2_heur='1', f_deg3='2', f_dom='17368', f_lp='3', f_lp_lb='3', limit_kern_branch='1000', limit_kern_start='1000'
61: constrained_branching='1', dom_opt='1', f_clique_lb='25570', f_deg2='28310', f_deg2_heur='4847', f_deg3='2699', f_dom='21027', f_lp='19065', f_lp_lb='5686', limit_kern_branch='151', limit_kern_start='37801'
62: constrained_branching='0', dom_opt='1', f_clique_lb='3354', f_deg2='2768', f_deg2_heur='4435', f_deg3='19552', f_dom='9522', f_lp='10117', f_lp_lb='370', limit_kern_branch='5909', limit_kern_start='17344'
63: constrained_branching='1', dom_opt='1', f_clique_lb='18433', f_deg2='30509', f_deg2_heur='38867', f_deg3='20044', f_dom='36344', f_lp='26058', f_lp_lb='4707', limit_kern_branch='15013', limit_kern_start='33696'
64: constrained_branching='1', dom_opt='1', f_clique_lb='3', f_deg2='1', f_deg2_heur='1', f_deg3='17067', f_dom='2', f_lp='3', f_lp_lb='323', limit_kern_branch='1000', limit_kern_start='1000'
65: constrained_branching='1', dom_opt='0', f_clique_lb='39593', f_deg2='34347', f_deg2_heur='37062', f_deg3='28519', f_dom='12990', f_lp='15447', f_lp_lb='11843', limit_kern_branch='32382', limit_kern_start='35199'
66: constrained_branching='1', dom_opt='0', f_clique_lb='25570', f_deg2='28310', f_deg2_heur='4847', f_deg3='2699', f_dom='9464', f_lp='12864', f_lp_lb='5686', limit_kern_branch='151', limit_kern_start='37801'
67: constrained_branching='1', dom_opt='0', f_clique_lb='13645', f_deg2='22124', f_deg2_heur='2839', f_deg3='2893', f_dom='4549', f_lp='10554', f_lp_lb='16838', limit_kern_branch='24381', limit_kern_start='37996'
68: constrained_branching='1', dom_opt='0', f_clique_lb='520', f_deg2='1', f_deg2_heur='1', f_deg3='2', f_dom='2', f_lp='12722', f_lp_lb='1624', limit_kern_branch='1000', limit_kern_start='1000'
69: constrained_branching='1', dom_opt='1', f_clique_lb='38464', f_deg2='9602', f_deg2_heur='33301', f_deg3='18374', f_dom='17702', f_lp='34540', f_lp_lb='14710', limit_kern_branch='31840', limit_kern_start='22233'
