1,2.0,2.0,6.25E-5,1.25E-5,1.25E-5,3.75E-5,3.75E-5,6.25E-5,6.25E-5,0.0249875,0.0249875
2,2.0,2.0,0.3082875,0.3311375,0.0887375,0.8808875,0.9132875,0.6126625,0.5692625,0.8772375,0.7057375
3,2.0,2.0,0.1948625,0.3122875,0.1848125,0.9292625,0.8291125,0.2951125,0.5567875,0.1123625,0.4225875
4,2.0,1.0,0.1660625,0.2196125,0.7115625,0.6220125,0.1575375,0.9549375,0.6011375,0.1939375,0.5689625
5,2.0,1.0,0.6916875,0.5355375,0.1223125,0.3902375,0.1878875,0.4702125,0.7619375,0.2064375,0.3703375
6,1.0,2.0,0.0416125,0.2091625,0.9437375,0.1987625,0.0206875,0.9832375,0.6251125,0.1781375,0.8274125
7,1.0,2.0,0.5627875,0.8956375,0.9469625,0.3194625,0.9030625,0.1159875,0.5424375,0.5492125,0.8496375
8,1.0,2.0,0.0477125,0.6423625,0.3745875,0.4857875,0.3520125,0.4365625,0.9659625,0.0169625,0.1944625
9,1.0,1.0,0.9927625,0.9901125,0.2429375,0.6897875,0.1163375,0.8933875,0.8764875,0.4011125,0.4818375
10,1.0,2.0,0.0838375,0.0691875,0.3597375,0.4887875,0.2380375,0.2529125,0.0092375,0.1477125,0.4335875
11,1.0,1.0,0.3806875,0.7662125,0.4496875,0.1808375,0.9495875,0.7530625,0.7276375,0.2132625,0.4742125
12,2.0,2.0,0.4744125,0.2720875,0.8351125,0.6426625,0.8166875,0.6890375,0.7175125,0.8764625,0.6178625
13,1.0,2.0,0.4019625,0.5488875,0.7588125,0.8272375,0.8631625,0.9761125,0.1297875,0.9303875,0.3841125
14,2.0,1.0,0.0158875,0.1985375,0.3009875,0.0796375,0.5679875,0.2229875,0.4740625,0.6233625,0.3694625
15,1.0,2.0,0.0491125,0.9502375,0.2989375,0.0334125,0.3634125,0.3988625,0.5901875,0.6873625,0.0072875
16,2.0,1.0,0.9935375,0.4238375,0.0232625,0.1639125,0.4017875,0.4995375,0.7746875,0.6303375,0.9162375
17,1.0,1.0,0.3818625,0.8992625,0.2329875,0.5300625,0.7168125,0.1172625,0.3237125,0.3057625,0.5077375
18,2.0,1.0,0.1278375,0.6453625,0.7679375,0.0559375,0.4258875,0.6220375,0.6367875,0.7683125,0.0406875
19,2.0,2.0,0.5238375,0.4070375,0.1243625,0.1450625,0.9057875,0.6195375,0.3916875,0.8434875,0.8430375
20,2.0,2.0,0.0328875,0.4395125,0.2807625,0.3247875,0.1339625,0.4253125,0.0212875,0.2551125,0.3247625
21,2.0,2.0,0.3985875,0.2284375,0.2436625,0.7713875,0.4636375,0.1509125,0.0796625,0.4405375,0.0388875
22,1.0,2.0,0.3477875,0.5205375,0.3756875,0.7346625,0.5688125,0.4988375,0.7518125,0.2865875,0.9789625
23,1.0,1.0,0.0112875,0.5273625,0.2561375,0.5053625,0.1419625,0.5202625,0.0834125,0.0810875,0.5335375
24,1.0,1.0,0.0500375,0.4503625,0.9214375,0.0483875,0.1356875,0.5994875,0.8941625,0.9398375,0.4030125
25,2.0,2.0,0.6549375,0.9893375,0.6988125,0.0747875,0.1913375,0.8057125,0.2130375,0.2751375,0.3047125
26,2.0,1.0,0.3546125,0.2236125,0.3003375,0.5848375,0.1311875,0.9986875,0.9301875,0.7041625,0.1851125
27,2.0,1.0,0.0467375,0.2935875,0.8776125,0.0124125,0.7980125,0.5342375,0.7394375,0.8240125,0.5309875
28,1.0,1.0,0.7019625,0.2194125,0.6677375,0.5907375,0.2725625,0.4675375,0.6766375,0.9793875,0.6973125
29,2.0,2.0,0.3644375,0.0381125,0.5368125,0.5694375,0.5177625,0.6796875,0.2235625,0.7135625,0.1859125
30,2.0,2.0,0.8680375,0.7942375,0.8281875,0.3386125,0.1168375,0.7350375,0.0484125,0.7348625,0.3288375
31,1.0,1.0,0.2224875,0.6251875,0.4100625,0.8302875,0.7194375,0.5197125,0.3036375,0.3047375,0.0903375
32,2.0,1.0,0.0609375,0.6286125,0.8317375,0.9364875,0.0413875,0.3966375,7.625E-4,0.7422125,0.3691875
33,1.0,1.0,0.9468875,0.1769625,0.6529625,0.8015375,0.9759625,0.2250625,0.8529125,0.8603375,0.6661125
34,1.0,2.0,0.0095375,0.4229875,0.3597375,0.3078125,0.2380375,0.2529125,0.0092375,0.1477125,0.3194125
35,1.0,1.0,0.4872875,0.0089375,0.7254375,0.3994625,0.6093875,0.7668875,0.0200125,0.8608625,0.4919375
36,2.0,2.0,0.4873875,0.3539875,0.7668375,0.9153125,0.7761125,0.5807625,0.9017875,0.7421125,0.4998125
37,1.0,1.0,0.1769875,0.5209625,0.6521625,0.2085625,0.2672875,0.6671375,0.5888375,0.2207625,0.5635625
