1: constrained_branching='1', dom_opt='1', f_clique_lb='3', f_clique_lb_c='3', f_deg2='1', f_deg2_heur='1', f_deg3='2', f_dom='2', f_lp='3', f_lp_lb='3', f_lp_lb_c='3', lb_opt='1', lb_opt_c='1', limit_kern_branch='500', limit_kern_start='500'
13: constrained_branching='0', dom_opt='0', f_clique_lb='4', f_clique_lb_c='18', f_deg2='94', f_deg2_heur='29', f_deg3='27', f_dom='44', f_lp='95', f_lp_lb='21', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='149', limit_kern_start='20'
14: constrained_branching='0', dom_opt='1', f_clique_lb='33', f_clique_lb_c='12', f_deg2='33', f_deg2_heur='4', f_deg3='42', f_dom='48', f_lp='81', f_lp_lb='82', f_lp_lb_c='15', lb_opt='0', lb_opt_c='0', limit_kern_branch='108', limit_kern_start='163'
15: constrained_branching='1', dom_opt='1', f_clique_lb='94', f_clique_lb_c='8', f_deg2='12', f_deg2_heur='80', f_deg3='85', f_dom='38', f_lp='14', f_lp_lb='17', f_lp_lb_c='9', lb_opt='0', lb_opt_c='1', limit_kern_branch='413', limit_kern_start='461'
16: constrained_branching='0', dom_opt='1', f_clique_lb='35', f_clique_lb_c='5', f_deg2='47', f_deg2_heur='72', f_deg3='68', f_dom='9', f_lp='24', f_lp_lb='39', f_lp_lb_c='14', lb_opt='1', lb_opt_c='0', limit_kern_branch='165', limit_kern_start='108'
17: constrained_branching='1', dom_opt='1', f_clique_lb='69', f_clique_lb_c='11', f_deg2='54', f_deg2_heur='29', f_deg3='1', f_dom='24', f_lp='72', f_lp_lb='74', f_lp_lb_c='10', lb_opt='0', lb_opt_c='1', limit_kern_branch='414', limit_kern_start='279'
18: constrained_branching='1', dom_opt='1', f_clique_lb='75', f_clique_lb_c='7', f_deg2='59', f_deg2_heur='2', f_deg3='47', f_dom='58', f_lp='35', f_lp_lb='46', f_lp_lb_c='2', lb_opt='0', lb_opt_c='1', limit_kern_branch='349', limit_kern_start='364'
19: constrained_branching='0', dom_opt='1', f_clique_lb='71', f_clique_lb_c='7', f_deg2='47', f_deg2_heur='40', f_deg3='35', f_dom='37', f_lp='24', f_lp_lb='39', f_lp_lb_c='18', lb_opt='1', lb_opt_c='1', limit_kern_branch='165', limit_kern_start='297'
20: constrained_branching='0', dom_opt='1', f_clique_lb='28', f_clique_lb_c='3', f_deg2='45', f_deg2_heur='33', f_deg3='80', f_dom='31', f_lp='70', f_lp_lb='20', f_lp_lb_c='15', lb_opt='1', lb_opt_c='0', limit_kern_branch='327', limit_kern_start='477'
21: constrained_branching='0', dom_opt='1', f_clique_lb='71', f_clique_lb_c='5', f_deg2='30', f_deg2_heur='21', f_deg3='35', f_dom='74', f_lp='39', f_lp_lb='23', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='165', limit_kern_start='255'
22: constrained_branching='1', dom_opt='1', f_clique_lb='68', f_clique_lb_c='12', f_deg2='3', f_deg2_heur='5', f_deg3='73', f_dom='60', f_lp='52', f_lp_lb='49', f_lp_lb_c='20', lb_opt='1', lb_opt_c='1', limit_kern_branch='1', limit_kern_start='478'
23: constrained_branching='0', dom_opt='1', f_clique_lb='71', f_clique_lb_c='5', f_deg2='30', f_deg2_heur='4', f_deg3='35', f_dom='74', f_lp='39', f_lp_lb='23', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='165', limit_kern_start='255'
24: constrained_branching='0', dom_opt='0', f_clique_lb='4', f_clique_lb_c='19', f_deg2='68', f_deg2_heur='40', f_deg3='44', f_dom='25', f_lp='42', f_lp_lb='68', f_lp_lb_c='1', lb_opt='1', lb_opt_c='1', limit_kern_branch='125', limit_kern_start='70'
25: constrained_branching='0', dom_opt='0', f_clique_lb='70', f_clique_lb_c='5', f_deg2='72', f_deg2_heur='5', f_deg3='37', f_dom='43', f_lp='31', f_lp_lb='41', f_lp_lb_c='15', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='170'
26: constrained_branching='1', dom_opt='1', f_clique_lb='3', f_clique_lb_c='10', f_deg2='44', f_deg2_heur='18', f_deg3='68', f_dom='19', f_lp='42', f_lp_lb='25', f_lp_lb_c='8', lb_opt='0', lb_opt_c='1', limit_kern_branch='303', limit_kern_start='449'
27: constrained_branching='1', dom_opt='0', f_clique_lb='70', f_clique_lb_c='5', f_deg2='62', f_deg2_heur='5', f_deg3='37', f_dom='43', f_lp='31', f_lp_lb='27', f_lp_lb_c='15', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='47'
28: constrained_branching='0', dom_opt='0', f_clique_lb='48', f_clique_lb_c='11', f_deg2='39', f_deg2_heur='21', f_deg3='91', f_dom='75', f_lp='52', f_lp_lb='38', f_lp_lb_c='13', lb_opt='1', lb_opt_c='1', limit_kern_branch='101', limit_kern_start='146'
29: constrained_branching='0', dom_opt='0', f_clique_lb='70', f_clique_lb_c='5', f_deg2='88', f_deg2_heur='50', f_deg3='65', f_dom='90', f_lp='10', f_lp_lb='46', f_lp_lb_c='15', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='111'
30: constrained_branching='0', dom_opt='1', f_clique_lb='74', f_clique_lb_c='7', f_deg2='2', f_deg2_heur='49', f_deg3='5', f_dom='99', f_lp='61', f_lp_lb='98', f_lp_lb_c='10', lb_opt='1', lb_opt_c='1', limit_kern_branch='316', limit_kern_start='210'
31: constrained_branching='1', dom_opt='1', f_clique_lb='35', f_clique_lb_c='5', f_deg2='57', f_deg2_heur='72', f_deg3='28', f_dom='9', f_lp='24', f_lp_lb='31', f_lp_lb_c='14', lb_opt='1', lb_opt_c='1', limit_kern_branch='45', limit_kern_start='108'
32: constrained_branching='1', dom_opt='0', f_clique_lb='97', f_clique_lb_c='5', f_deg2='17', f_deg2_heur='20', f_deg3='70', f_dom='46', f_lp='44', f_lp_lb='78', f_lp_lb_c='17', lb_opt='0', lb_opt_c='0', limit_kern_branch='429', limit_kern_start='169'
33: constrained_branching='0', dom_opt='1', f_clique_lb='70', f_clique_lb_c='10', f_deg2='49', f_deg2_heur='21', f_deg3='35', f_dom='74', f_lp='42', f_lp_lb='23', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='165', limit_kern_start='93'
34: constrained_branching='1', dom_opt='1', f_clique_lb='50', f_clique_lb_c='13', f_deg2='51', f_deg2_heur='60', f_deg3='71', f_dom='27', f_lp='75', f_lp_lb='89', f_lp_lb_c='11', lb_opt='0', lb_opt_c='1', limit_kern_branch='144', limit_kern_start='445'
35: constrained_branching='0', dom_opt='1', f_clique_lb='70', f_clique_lb_c='7', f_deg2='56', f_deg2_heur='50', f_deg3='19', f_dom='69', f_lp='30', f_lp_lb='78', f_lp_lb_c='15', lb_opt='0', lb_opt_c='1', limit_kern_branch='192', limit_kern_start='111'
36: constrained_branching='1', dom_opt='1', f_clique_lb='19', f_clique_lb_c='1', f_deg2='83', f_deg2_heur='7', f_deg3='22', f_dom='50', f_lp='96', f_lp_lb='100', f_lp_lb_c='8', lb_opt='0', lb_opt_c='0', limit_kern_branch='491', limit_kern_start='448'
37: constrained_branching='0', dom_opt='1', f_clique_lb='71', f_clique_lb_c='12', f_deg2='30', f_deg2_heur='56', f_deg3='35', f_dom='74', f_lp='15', f_lp_lb='23', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='149', limit_kern_start='52'
38: constrained_branching='1', dom_opt='1', f_clique_lb='63', f_clique_lb_c='19', f_deg2='79', f_deg2_heur='7', f_deg3='49', f_dom='51', f_lp='100', f_lp_lb='57', f_lp_lb_c='10', lb_opt='1', lb_opt_c='0', limit_kern_branch='198', limit_kern_start='291'
39: constrained_branching='0', dom_opt='0', f_clique_lb='70', f_clique_lb_c='5', f_deg2='61', f_deg2_heur='5', f_deg3='15', f_dom='43', f_lp='31', f_lp_lb='24', f_lp_lb_c='15', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='170'
40: constrained_branching='0', dom_opt='1', f_clique_lb='23', f_clique_lb_c='8', f_deg2='63', f_deg2_heur='59', f_deg3='61', f_dom='37', f_lp='24', f_lp_lb='35', f_lp_lb_c='17', lb_opt='1', lb_opt_c='0', limit_kern_branch='191', limit_kern_start='74'
41: constrained_branching='0', dom_opt='1', f_clique_lb='95', f_clique_lb_c='5', f_deg2='47', f_deg2_heur='54', f_deg3='37', f_dom='43', f_lp='31', f_lp_lb='24', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='210', limit_kern_start='170'
42: constrained_branching='0', dom_opt='1', f_clique_lb='38', f_clique_lb_c='20', f_deg2='87', f_deg2_heur='72', f_deg3='53', f_dom='28', f_lp='22', f_lp_lb='26', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='108', limit_kern_start='405'
43: constrained_branching='1', dom_opt='1', f_clique_lb='63', f_clique_lb_c='19', f_deg2='79', f_deg2_heur='7', f_deg3='49', f_dom='51', f_lp='100', f_lp_lb='57', f_lp_lb_c='10', lb_opt='1', lb_opt_c='0', limit_kern_branch='259', limit_kern_start='291'
44: constrained_branching='0', dom_opt='1', f_clique_lb='30', f_clique_lb_c='12', f_deg2='73', f_deg2_heur='22', f_deg3='45', f_dom='16', f_lp='41', f_lp_lb='3', f_lp_lb_c='12', lb_opt='1', lb_opt_c='0', limit_kern_branch='80', limit_kern_start='318'
45: constrained_branching='0', dom_opt='1', f_clique_lb='83', f_clique_lb_c='17', f_deg2='37', f_deg2_heur='57', f_deg3='30', f_dom='1', f_lp='66', f_lp_lb='38', f_lp_lb_c='4', lb_opt='1', lb_opt_c='1', limit_kern_branch='161', limit_kern_start='138'
46: constrained_branching='0', dom_opt='1', f_clique_lb='95', f_clique_lb_c='5', f_deg2='47', f_deg2_heur='54', f_deg3='37', f_dom='43', f_lp='31', f_lp_lb='24', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='158', limit_kern_start='170'
47: constrained_branching='0', dom_opt='0', f_clique_lb='35', f_clique_lb_c='19', f_deg2='6', f_deg2_heur='15', f_deg3='24', f_dom='88', f_lp='51', f_lp_lb='88', f_lp_lb_c='15', lb_opt='0', lb_opt_c='0', limit_kern_branch='100', limit_kern_start='127'
48: constrained_branching='1', dom_opt='0', f_clique_lb='70', f_clique_lb_c='5', f_deg2='45', f_deg2_heur='33', f_deg3='37', f_dom='43', f_lp='31', f_lp_lb='24', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='72', limit_kern_start='230'
49: constrained_branching='1', dom_opt='1', f_clique_lb='33', f_clique_lb_c='5', f_deg2='8', f_deg2_heur='50', f_deg3='72', f_dom='27', f_lp='81', f_lp_lb='5', f_lp_lb_c='17', lb_opt='1', lb_opt_c='1', limit_kern_branch='382', limit_kern_start='304'
50: constrained_branching='1', dom_opt='1', f_clique_lb='70', f_clique_lb_c='5', f_deg2='57', f_deg2_heur='5', f_deg3='37', f_dom='43', f_lp='31', f_lp_lb='37', f_lp_lb_c='12', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='60'
51: constrained_branching='1', dom_opt='1', f_clique_lb='11', f_clique_lb_c='2', f_deg2='90', f_deg2_heur='74', f_deg3='97', f_dom='10', f_lp='68', f_lp_lb='60', f_lp_lb_c='20', lb_opt='0', lb_opt_c='0', limit_kern_branch='472', limit_kern_start='182'
52: constrained_branching='0', dom_opt='1', f_clique_lb='70', f_clique_lb_c='5', f_deg2='47', f_deg2_heur='5', f_deg3='37', f_dom='43', f_lp='31', f_lp_lb='15', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='148', limit_kern_start='170'
53: constrained_branching='1', dom_opt='1', f_clique_lb='79', f_clique_lb_c='15', f_deg2='8', f_deg2_heur='37', f_deg3='53', f_dom='81', f_lp='21', f_lp_lb='78', f_lp_lb_c='6', lb_opt='0', lb_opt_c='0', limit_kern_branch='227', limit_kern_start='211'
54: constrained_branching='0', dom_opt='1', f_clique_lb='78', f_clique_lb_c='5', f_deg2='79', f_deg2_heur='50', f_deg3='65', f_dom='41', f_lp='33', f_lp_lb='18', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='173', limit_kern_start='78'
55: constrained_branching='1', dom_opt='1', f_clique_lb='22', f_clique_lb_c='18', f_deg2='14', f_deg2_heur='73', f_deg3='52', f_dom='38', f_lp='49', f_lp_lb='100', f_lp_lb_c='2', lb_opt='0', lb_opt_c='1', limit_kern_branch='188', limit_kern_start='39'
56: constrained_branching='1', dom_opt='0', f_clique_lb='70', f_clique_lb_c='5', f_deg2='57', f_deg2_heur='5', f_deg3='37', f_dom='38', f_lp='31', f_lp_lb='37', f_lp_lb_c='12', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='60'
57: constrained_branching='1', dom_opt='0', f_clique_lb='18', f_clique_lb_c='19', f_deg2='67', f_deg2_heur='53', f_deg3='84', f_dom='63', f_lp='69', f_lp_lb='43', f_lp_lb_c='20', lb_opt='1', lb_opt_c='0', limit_kern_branch='17', limit_kern_start='232'
58: constrained_branching='0', dom_opt='1', f_clique_lb='95', f_clique_lb_c='5', f_deg2='47', f_deg2_heur='54', f_deg3='37', f_dom='43', f_lp='37', f_lp_lb='41', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='158', limit_kern_start='42'
59: constrained_branching='1', dom_opt='1', f_clique_lb='2', f_clique_lb_c='13', f_deg2='17', f_deg2_heur='91', f_deg3='11', f_dom='36', f_lp='26', f_lp_lb='11', f_lp_lb_c='10', lb_opt='0', lb_opt_c='1', limit_kern_branch='253', limit_kern_start='421'
60: constrained_branching='0', dom_opt='1', f_clique_lb='95', f_clique_lb_c='5', f_deg2='64', f_deg2_heur='54', f_deg3='37', f_dom='58', f_lp='31', f_lp_lb='24', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='158', limit_kern_start='251'
61: constrained_branching='1', dom_opt='1', f_clique_lb='1', f_clique_lb_c='8', f_deg2='46', f_deg2_heur='27', f_deg3='19', f_dom='17', f_lp='26', f_lp_lb='100', f_lp_lb_c='20', lb_opt='0', lb_opt_c='1', limit_kern_branch='198', limit_kern_start='257'
62: constrained_branching='1', dom_opt='0', f_clique_lb='70', f_clique_lb_c='5', f_deg2='62', f_deg2_heur='40', f_deg3='37', f_dom='43', f_lp='31', f_lp_lb='27', f_lp_lb_c='15', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='47'
63: constrained_branching='0', dom_opt='1', f_clique_lb='51', f_clique_lb_c='5', f_deg2='97', f_deg2_heur='95', f_deg3='96', f_dom='62', f_lp='65', f_lp_lb='60', f_lp_lb_c='8', lb_opt='0', lb_opt_c='1', limit_kern_branch='291', limit_kern_start='21'
64: constrained_branching='0', dom_opt='1', f_clique_lb='95', f_clique_lb_c='10', f_deg2='47', f_deg2_heur='54', f_deg3='37', f_dom='43', f_lp='31', f_lp_lb='23', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='210', limit_kern_start='170'
65: constrained_branching='1', dom_opt='0', f_clique_lb='1', f_clique_lb_c='3', f_deg2='94', f_deg2_heur='23', f_deg3='79', f_dom='98', f_lp='67', f_lp_lb='25', f_lp_lb_c='9', lb_opt='0', lb_opt_c='0', limit_kern_branch='249', limit_kern_start='240'
66: constrained_branching='0', dom_opt='1', f_clique_lb='79', f_clique_lb_c='5', f_deg2='47', f_deg2_heur='21', f_deg3='37', f_dom='47', f_lp='31', f_lp_lb='24', f_lp_lb_c='15', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='170'
67: constrained_branching='1', dom_opt='0', f_clique_lb='74', f_clique_lb_c='4', f_deg2='19', f_deg2_heur='17', f_deg3='32', f_dom='23', f_lp='24', f_lp_lb='56', f_lp_lb_c='11', lb_opt='1', lb_opt_c='1', limit_kern_branch='209', limit_kern_start='474'
68: constrained_branching='1', dom_opt='0', f_clique_lb='72', f_clique_lb_c='5', f_deg2='62', f_deg2_heur='5', f_deg3='64', f_dom='43', f_lp='31', f_lp_lb='27', f_lp_lb_c='12', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='167'
69: constrained_branching='0', dom_opt='0', f_clique_lb='98', f_clique_lb_c='1', f_deg2='76', f_deg2_heur='54', f_deg3='74', f_dom='67', f_lp='21', f_lp_lb='26', f_lp_lb_c='13', lb_opt='0', lb_opt_c='1', limit_kern_branch='278', limit_kern_start='230'
70: constrained_branching='1', dom_opt='1', f_clique_lb='72', f_clique_lb_c='5', f_deg2='62', f_deg2_heur='5', f_deg3='26', f_dom='43', f_lp='18', f_lp_lb='38', f_lp_lb_c='12', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='77'
71: constrained_branching='0', dom_opt='1', f_clique_lb='32', f_clique_lb_c='19', f_deg2='14', f_deg2_heur='85', f_deg3='97', f_dom='51', f_lp='43', f_lp_lb='55', f_lp_lb_c='6', lb_opt='0', lb_opt_c='1', limit_kern_branch='181', limit_kern_start='181'
72: constrained_branching='1', dom_opt='1', f_clique_lb='70', f_clique_lb_c='5', f_deg2='61', f_deg2_heur='5', f_deg3='65', f_dom='43', f_lp='31', f_lp_lb='24', f_lp_lb_c='15', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='59'
73: constrained_branching='0', dom_opt='1', f_clique_lb='48', f_clique_lb_c='10', f_deg2='96', f_deg2_heur='32', f_deg3='32', f_dom='86', f_lp='24', f_lp_lb='60', f_lp_lb_c='3', lb_opt='1', lb_opt_c='1', limit_kern_branch='119', limit_kern_start='125'
74: constrained_branching='0', dom_opt='1', f_clique_lb='23', f_clique_lb_c='5', f_deg2='47', f_deg2_heur='5', f_deg3='37', f_dom='43', f_lp='31', f_lp_lb='24', f_lp_lb_c='12', lb_opt='0', lb_opt_c='1', limit_kern_branch='162', limit_kern_start='69'
75: constrained_branching='0', dom_opt='0', f_clique_lb='25', f_clique_lb_c='17', f_deg2='71', f_deg2_heur='65', f_deg3='30', f_dom='68', f_lp='46', f_lp_lb='26', f_lp_lb_c='5', lb_opt='0', lb_opt_c='1', limit_kern_branch='350', limit_kern_start='434'
76: constrained_branching='0', dom_opt='0', f_clique_lb='70', f_clique_lb_c='5', f_deg2='61', f_deg2_heur='5', f_deg3='39', f_dom='43', f_lp='31', f_lp_lb='24', f_lp_lb_c='15', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='170'
77: constrained_branching='1', dom_opt='1', f_clique_lb='19', f_clique_lb_c='11', f_deg2='64', f_deg2_heur='96', f_deg3='18', f_dom='30', f_lp='12', f_lp_lb='13', f_lp_lb_c='6', lb_opt='0', lb_opt_c='0', limit_kern_branch='323', limit_kern_start='193'
78: constrained_branching='0', dom_opt='1', f_clique_lb='95', f_clique_lb_c='5', f_deg2='47', f_deg2_heur='38', f_deg3='25', f_dom='43', f_lp='31', f_lp_lb='24', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='210', limit_kern_start='170'
79: constrained_branching='1', dom_opt='0', f_clique_lb='22', f_clique_lb_c='16', f_deg2='43', f_deg2_heur='36', f_deg3='75', f_dom='8', f_lp='64', f_lp_lb='45', f_lp_lb_c='13', lb_opt='1', lb_opt_c='0', limit_kern_branch='242', limit_kern_start='50'
80: constrained_branching='0', dom_opt='1', f_clique_lb='70', f_clique_lb_c='5', f_deg2='39', f_deg2_heur='5', f_deg3='37', f_dom='43', f_lp='31', f_lp_lb='24', f_lp_lb_c='13', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='170'
81: constrained_branching='0', dom_opt='1', f_clique_lb='58', f_clique_lb_c='6', f_deg2='8', f_deg2_heur='21', f_deg3='64', f_dom='16', f_lp='54', f_lp_lb='49', f_lp_lb_c='6', lb_opt='1', lb_opt_c='1', limit_kern_branch='424', limit_kern_start='372'
82: constrained_branching='0', dom_opt='1', f_clique_lb='30', f_clique_lb_c='12', f_deg2='73', f_deg2_heur='22', f_deg3='45', f_dom='16', f_lp='26', f_lp_lb='3', f_lp_lb_c='13', lb_opt='1', lb_opt_c='0', limit_kern_branch='80', limit_kern_start='318'
83: constrained_branching='0', dom_opt='1', f_clique_lb='31', f_clique_lb_c='7', f_deg2='59', f_deg2_heur='60', f_deg3='80', f_dom='94', f_lp='24', f_lp_lb='61', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='300', limit_kern_start='148'
84: constrained_branching='1', dom_opt='0', f_clique_lb='70', f_clique_lb_c='5', f_deg2='67', f_deg2_heur='5', f_deg3='37', f_dom='43', f_lp='31', f_lp_lb='27', f_lp_lb_c='15', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='133'
85: constrained_branching='0', dom_opt='1', f_clique_lb='93', f_clique_lb_c='5', f_deg2='76', f_deg2_heur='9', f_deg3='38', f_dom='37', f_lp='46', f_lp_lb='66', f_lp_lb_c='4', lb_opt='1', lb_opt_c='0', limit_kern_branch='54', limit_kern_start='110'
86: constrained_branching='0', dom_opt='0', f_clique_lb='26', f_clique_lb_c='5', f_deg2='72', f_deg2_heur='5', f_deg3='37', f_dom='43', f_lp='31', f_lp_lb='41', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='271'
87: constrained_branching='1', dom_opt='1', f_clique_lb='6', f_clique_lb_c='10', f_deg2='55', f_deg2_heur='62', f_deg3='22', f_dom='41', f_lp='27', f_lp_lb='29', f_lp_lb_c='20', lb_opt='0', lb_opt_c='0', limit_kern_branch='379', limit_kern_start='157'
88: constrained_branching='1', dom_opt='0', f_clique_lb='73', f_clique_lb_c='5', f_deg2='62', f_deg2_heur='5', f_deg3='37', f_dom='43', f_lp='31', f_lp_lb='27', f_lp_lb_c='15', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='47'
89: constrained_branching='0', dom_opt='1', f_clique_lb='66', f_clique_lb_c='7', f_deg2='96', f_deg2_heur='62', f_deg3='78', f_dom='90', f_lp='82', f_lp_lb='69', f_lp_lb_c='9', lb_opt='0', lb_opt_c='0', limit_kern_branch='430', limit_kern_start='346'
90: constrained_branching='0', dom_opt='1', f_clique_lb='18', f_clique_lb_c='20', f_deg2='87', f_deg2_heur='72', f_deg3='53', f_dom='28', f_lp='22', f_lp_lb='39', f_lp_lb_c='15', lb_opt='1', lb_opt_c='1', limit_kern_branch='108', limit_kern_start='405'
91: constrained_branching='0', dom_opt='0', f_clique_lb='28', f_clique_lb_c='2', f_deg2='22', f_deg2_heur='26', f_deg3='66', f_dom='35', f_lp='1', f_lp_lb='82', f_lp_lb_c='12', lb_opt='1', lb_opt_c='0', limit_kern_branch='490', limit_kern_start='182'
92: constrained_branching='1', dom_opt='1', f_clique_lb='72', f_clique_lb_c='5', f_deg2='62', f_deg2_heur='5', f_deg3='64', f_dom='43', f_lp='31', f_lp_lb='27', f_lp_lb_c='12', lb_opt='0', lb_opt_c='1', limit_kern_branch='156', limit_kern_start='167'
93: constrained_branching='1', dom_opt='1', f_clique_lb='75', f_clique_lb_c='15', f_deg2='77', f_deg2_heur='14', f_deg3='4', f_dom='3', f_lp='17', f_lp_lb='75', f_lp_lb_c='4', lb_opt='1', lb_opt_c='0', limit_kern_branch='385', limit_kern_start='18'
94: constrained_branching='0', dom_opt='0', f_clique_lb='48', f_clique_lb_c='11', f_deg2='78', f_deg2_heur='21', f_deg3='79', f_dom='90', f_lp='52', f_lp_lb='38', f_lp_lb_c='13', lb_opt='1', lb_opt_c='1', limit_kern_branch='101', limit_kern_start='146'
95: constrained_branching='0', dom_opt='0', f_clique_lb='32', f_clique_lb_c='2', f_deg2='71', f_deg2_heur='77', f_deg3='89', f_dom='61', f_lp='100', f_lp_lb='91', f_lp_lb_c='17', lb_opt='1', lb_opt_c='1', limit_kern_branch='45', limit_kern_start='83'
96: constrained_branching='1', dom_opt='0', f_clique_lb='57', f_clique_lb_c='13', f_deg2='89', f_deg2_heur='85', f_deg3='40', f_dom='62', f_lp='8', f_lp_lb='96', f_lp_lb_c='20', lb_opt='0', lb_opt_c='0', limit_kern_branch='89', limit_kern_start='83'
