Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,18,300.0,0,300.0,-1,0.0,0.0,0,0.0,0,0.0,TIMEOUT,,303.381,
2,1,3,3.64,0,300.0,-1,3.64,0.0,1,0.0,1,3.64,SAT,,4.064,
3,2,18,300.0,0,300.0,-1,0.0,0.0,0,0.0,1,3.64,TIMEOUT,,303.31,
4,2,3,2.63,0,5.735900093215704,-1,2.63,0.0,1,0.0,1,6.27,SAT,,4.02,
5,2,1,1.54,0,300.0,-1,1.54,0.0,1,0.0,1,7.81,SAT,,2.013,
6,3,18,300.0,0,300.0,-1,0.0,0.0,0,0.0,1,7.81,TIMEOUT,,303.31,
7,3,3,2.7,0,6.4262004460871225,-1,2.7,0.0,1,0.0,1,10.51,SAT,,4.027,
8,3,1,1.54,0,2.916200597184896,-1,1.54,0.0,1,0.0,1,12.05,SAT,,2.016,
9,2,8,2.9,0,300.0,-1,2.9,0.0,1,0.0,2,14.950000000000001,SAT,,4.028,
10,4,18,300.0,0,300.0,-1,0.0,0.0,0,0.0,2,14.950000000000001,TIMEOUT,,303.339,
11,4,8,3.85,0,6.777200576263667,-1,3.85,0.0,1,0.0,2,18.8,SAT,,4.034,
12,4,1,1.7722001190960408,1,1.7722001190960408,-1,0.0,0.0,0,0.0,2,18.8,TIMEOUT,,3.02,
13,2,4,0.31,0,300.0,-1,0.31,0.0,1,0.0,2,19.11,SAT,,2.043,
14,5,3,3.61,0,4.421600073921681,-1,3.61,0.0,1,0.0,2,22.72,SAT,,4.046,
15,2,21,2.48,0,300.0,-1,2.48,0.0,1,0.0,3,25.2,SAT,,4.062,
16,6,21,2.44,0,4.226600405174494,-1,2.44,0.0,1,0.0,3,27.64,SAT,,4.044,
17,6,1,2.6,0,300.0,-1,2.6,0.0,1,0.0,3,30.240000000000002,SAT,,4.033,
18,6,18,300.0,0,300.0,-1,0.0,0.0,0,0.0,3,30.240000000000002,TIMEOUT,,303.369,
19,2,15,300.0,0,300.0,-1,0.0,0.0,0,0.0,3,30.240000000000002,TIMEOUT,,303.351,
20,7,15,300.0,0,300.0,-1,0.0,0.0,0,0.0,3,30.240000000000002,TIMEOUT,,303.416,
21,7,8,2.69,0,6.777200576263667,-1,2.69,0.0,1,0.0,3,32.93,SAT,,4.033,
22,7,1,2.28,0,3.280200220990181,-1,2.28,0.0,1,0.0,3,35.21,SAT,,4.031,
23,2,19,0.8,0,300.0,-1,0.8,0.0,1,0.0,4,36.01,SAT,,2.043,
24,5,8,3.4999000172793866,1,3.4999000172793866,-1,0.0,0.0,0,0.0,4,36.01,TIMEOUT,,5.042,
25,2,11,5.77,0,300.0,-1,5.77,0.0,1,0.0,4,41.78,SAT,,6.039,
26,8,15,300.0,0,300.0,-1,0.0,0.0,0,0.0,4,41.78,TIMEOUT,,303.397,
27,8,19,0.72,0,9.546200231063366,-1,0.72,0.0,1,0.0,4,42.5,SAT,,2.025,
28,8,11,4.38,0,8.610200368213654,-1,4.38,0.0,1,0.0,4,46.88,SAT,,6.048,
29,8,21,1.53,0,12.32040040974617,-1,1.53,0.0,1,0.0,4,48.410000000000004,SAT,,2.022,
30,8,4,0.31,0,10.331400156366826,-1,0.31,0.0,1,0.0,4,48.720000000000006,SAT,,2.044,
31,8,1,3.12,0,9.928400598812104,-1,3.12,0.0,1,0.0,4,51.84,SAT,,4.031,
32,8,8,3.82,0,5.872400224554538,-1,3.82,0.0,1,0.0,4,55.660000000000004,SAT,,4.031,
33,2,16,219.34,0,300.0,-1,219.34,0.0,1,0.0,5,275.0,SAT,,220.268,
34,9,16,229.68,0,286.14460070465805,-1,229.68,0.0,1,0.0,5,504.68,SAT,,230.259,
35,2,25,109.69,0,300.0,-1,109.69,0.0,1,0.0,5,614.37,SAT,,110.155,
36,10,4,0.34,0,1.4056005965650082,-1,0.34,0.0,1,0.0,5,614.71,SAT,,2.046,
37,2,12,0.2,0,300.0,-1,0.2,0.0,1,0.0,6,614.9100000000001,SAT,,2.045,
38,11,3,4.69,0,4.421600073921681,-1,4.69,0.0,1,0.0,6,619.6000000000001,SAT,,6.046,
39,2,6,0.51,0,300.0,-1,0.51,0.0,1,0.0,6,620.1100000000001,SAT,,2.041,
40,12,11,6.22,0,8.503600161868334,-1,6.22,0.0,1,0.0,6,626.3300000000002,SAT,,8.033,
41,2,7,58.44,0,300.0,-1,58.44,0.0,1,0.0,7,684.7700000000002,SAT,,60.101,
42,13,6,0.32,0,1.6656006391823293,-1,0.32,0.0,1,0.0,7,685.0900000000003,SAT,,2.042,
43,13,21,2.36,0,4.879200410443545,-1,2.36,0.0,1,0.0,7,687.4500000000003,SAT,,4.04,
44,13,4,0.3,0,1.8112000528454781,-1,0.3,0.0,1,0.0,7,687.7500000000002,SAT,,2.047,
45,13,12,0.16,0,300.0,-1,0.16,0.0,1,0.0,7,687.9100000000002,SAT,,2.021,
46,13,15,300.0,0,300.0,-1,0.0,0.0,0,0.0,7,687.9100000000002,TIMEOUT,,303.417,
47,13,18,300.0,0,300.0,-1,0.0,0.0,0,0.0,7,687.9100000000002,TIMEOUT,,303.341,
48,13,25,96.09,0,144.07540057634117,-1,96.09,0.0,1,0.0,7,784.0000000000002,SAT,,98.122,
49,13,11,6.38,0,300.0,-1,6.38,0.0,1,0.0,7,790.3800000000002,SAT,,8.028,
50,13,8,4.01,0,300.0,-1,4.01,0.0,1,0.0,7,794.3900000000002,SAT,,6.066,
51,13,19,0.74,0,300.0,-1,0.74,0.0,1,0.0,7,795.1300000000002,SAT,,2.038,
52,13,7,66.36,0,300.0,-1,66.36,0.0,1,0.0,7,861.4900000000002,SAT,,68.089,
53,13,3,3.72,0,297.27650041540267,-1,3.72,0.0,1,0.0,7,865.2100000000003,SAT,,4.043,
54,13,1,1.92,0,292.44050063972475,-1,1.92,0.0,1,0.0,7,867.1300000000002,SAT,,2.117,
55,13,16,238.33,0,289.9445005211711,-1,238.33,0.0,1,0.0,7,1105.4600000000003,SAT,,240.272,
56,2,13,7.91,0,300.0,-1,7.91,0.0,1,0.0,7,1113.3700000000003,SAT,,8.046,
57,14,16,225.86,0,286.14460070465805,-1,225.86,0.0,1,0.0,7,1339.2300000000005,SAT,,226.274,
58,2,26,197.88,0,300.0,-1,197.88,0.0,1,0.0,8,1537.1100000000006,SAT,,198.274,
59,15,21,2.75,0,4.226600405174494,-1,2.75,0.0,1,0.0,8,1539.8600000000006,SAT,,4.025,
60,2,14,0.51,0,300.0,-1,0.51,0.0,1,0.0,8,1540.3700000000006,SAT,,2.024,
61,16,12,0.2,0,1.2626003551959992,-1,0.2,0.0,1,0.0,8,1540.5700000000006,SAT,,2.048,
62,16,6,0.5,0,9.169200387197733,-1,0.5,0.0,1,0.0,8,1541.0700000000006,SAT,,2.046,
63,16,11,4.67,0,8.519200280654431,-1,4.67,0.0,1,0.0,8,1545.7400000000007,SAT,,6.022,
64,16,19,0.77,0,83.54740024392605,-1,0.77,0.0,1,0.0,8,1546.5100000000007,SAT,,2.048,
65,16,3,4.72,0,82.5464000072062,-1,4.72,0.0,1,0.0,8,1551.2300000000007,SAT,,6.027,
66,16,14,0.49,0,76.41040001844168,-1,0.49,0.0,1,0.0,8,1551.7200000000007,SAT,,2.05,
67,16,7,60.28,0,75.77340013195872,-1,60.28,0.0,1,0.0,8,1612.0000000000007,SAT,,62.103,
68,2,9,95.91,0,300.0,-1,95.91,0.0,1,0.0,9,1707.9100000000008,SAT,,96.113,
69,17,12,0.18,0,1.2626003551959992,-1,0.18,0.0,1,0.0,9,1708.0900000000008,SAT,,2.024,
70,17,11,5.24,0,11.951200262057782,-1,5.24,0.0,1,0.0,9,1713.3300000000008,SAT,,6.054,
71,17,3,4.66,0,5.139200453060865,-1,4.66,0.0,1,0.0,9,1717.990000000001,SAT,,6.044,
72,2,5,5.26,0,300.0,-1,5.26,0.0,1,0.0,9,1723.250000000001,SAT,,6.032,
73,18,8,3.24,0,4.772600204098225,-1,3.24,0.0,1,0.0,9,1726.490000000001,SAT,,4.029,
74,2,23,51.82,0,300.0,-1,51.82,0.0,1,0.0,10,1778.3100000000009,SAT,,52.103,
