1,2.0,2.0,0.025,0.125,0.005,0.005,0.015,0.015,0.025,0.025,0.125,2.0,2.0,0.999,0.999
2,2.0,1.0,0.645,0.025,0.685,0.955,0.015,0.075,0.495,0.155,0.075,1.0,1.0,0.803,0.815
3,2.0,2.0,0.195,0.325,0.185,0.925,0.825,0.295,0.555,0.115,0.425,2.0,1.0,0.373,0.971
4,1.0,2.0,0.695,0.225,0.465,0.045,0.365,0.425,0.305,0.235,0.725,1.0,2.0,0.311,0.339
5,1.0,1.0,0.665,0.425,0.605,0.545,0.675,0.055,0.075,0.285,0.525,1.0,2.0,0.303,0.641
6,2.0,1.0,0.095,0.025,0.955,0.045,0.875,0.425,0.315,0.435,0.875,1.0,1.0,0.857,0.141
7,2.0,1.0,0.095,0.025,0.955,0.045,0.875,0.125,0.315,0.005,0.875,1.0,1.0,0.857,0.141
8,1.0,1.0,0.155,0.075,0.895,0.735,0.125,0.045,0.975,0.935,0.525,2.0,2.0,0.277,0.451
9,2.0,2.0,0.005,0.325,0.185,0.925,0.825,0.295,0.355,0.115,0.425,1.0,2.0,0.373,0.971
10,2.0,2.0,0.355,0.075,0.585,0.785,0.285,0.955,0.505,0.755,0.525,1.0,2.0,0.963,0.845
11,2.0,2.0,0.015,0.075,0.495,0.785,0.585,0.465,0.385,0.315,0.075,2.0,2.0,0.809,0.845
12,1.0,1.0,0.505,0.775,0.855,0.065,0.645,0.815,0.615,0.855,0.725,2.0,2.0,0.309,0.533
13,2.0,2.0,0.005,0.325,0.185,0.925,0.825,0.295,0.355,0.115,0.425,1.0,1.0,0.373,0.971
14,2.0,2.0,0.435,0.325,0.265,0.645,0.305,0.275,0.265,0.885,0.275,2.0,1.0,0.043,0.707
15,2.0,1.0,0.005,0.375,0.955,0.045,0.875,0.405,0.315,0.435,0.875,1.0,2.0,0.687,0.141
16,2.0,1.0,0.445,0.125,0.905,0.235,0.465,0.885,0.135,0.225,0.975,2.0,1.0,0.985,0.929
17,2.0,1.0,0.445,0.425,0.905,0.235,0.465,0.465,0.135,0.225,0.975,2.0,1.0,0.679,0.929
18,1.0,1.0,0.055,0.625,0.955,0.485,0.575,0.385,0.745,0.805,0.475,1.0,2.0,0.565,0.679
19,2.0,1.0,0.445,0.125,0.905,0.235,0.665,0.885,0.135,0.225,0.675,1.0,1.0,0.779,0.537
20,1.0,1.0,0.115,0.375,0.725,0.695,0.475,0.095,0.285,0.385,0.025,2.0,2.0,0.507,0.409
21,2.0,2.0,0.005,0.325,0.185,0.925,0.825,0.595,0.355,0.115,0.425,2.0,2.0,0.697,0.971
22,2.0,1.0,0.135,0.775,0.305,0.645,0.015,0.415,0.185,0.485,0.925,1.0,2.0,0.067,0.609
23,1.0,1.0,0.115,0.675,0.775,0.375,0.545,0.085,0.565,0.305,0.125,2.0,2.0,0.075,0.075
24,2.0,1.0,0.925,0.675,0.785,0.925,0.335,0.355,0.975,0.665,0.325,2.0,1.0,0.497,0.865
25,2.0,2.0,0.025,0.475,0.185,0.845,0.825,0.595,0.355,0.115,0.425,1.0,2.0,0.657,0.897
26,1.0,1.0,0.755,0.025,0.445,0.395,0.585,0.035,0.495,0.395,0.375,1.0,1.0,0.781,0.477
27,1.0,1.0,0.005,0.075,0.195,0.735,0.125,0.045,0.315,0.935,0.075,2.0,2.0,0.059,0.295
28,1.0,2.0,0.055,0.825,0.445,0.275,0.425,0.495,0.505,0.325,0.825,1.0,2.0,0.993,0.403
29,1.0,1.0,0.315,0.775,0.325,0.105,0.215,0.235,0.285,0.595,0.075,1.0,2.0,0.475,0.245
30,2.0,2.0,0.005,0.075,0.185,0.835,0.825,0.475,0.355,0.265,0.025,2.0,2.0,0.237,0.967
31,1.0,2.0,0.225,0.925,0.545,0.155,0.765,0.145,0.475,0.975,0.525,2.0,1.0,0.137,0.149
32,1.0,1.0,0.005,0.075,0.195,0.735,0.125,0.045,0.315,0.935,0.175,2.0,2.0,0.059,0.295
33,1.0,2.0,0.195,0.475,0.795,0.455,0.155,0.155,0.645,0.265,0.675,2.0,1.0,0.025,0.235
34,1.0,1.0,0.005,0.075,0.195,0.735,0.325,0.045,0.315,0.935,0.075,2.0,2.0,0.059,0.407
35,1.0,2.0,0.135,0.775,0.225,0.265,0.455,0.295,0.905,0.755,0.175,2.0,1.0,0.781,0.349
36,1.0,1.0,0.005,0.075,0.195,0.735,0.125,0.045,0.315,0.935,0.075,2.0,2.0,0.029,0.295
37,2.0,2.0,0.785,0.875,0.275,0.485,0.165,0.925,0.305,0.725,0.675,2.0,2.0,0.195,0.093
38,1.0,1.0,0.045,0.075,0.195,0.735,0.125,0.045,0.315,0.935,0.075,2.0,2.0,0.059,0.295
39,1.0,1.0,0.615,0.575,0.935,0.275,0.405,0.175,0.685,0.165,0.125,2.0,2.0,0.077,0.325
40,1.0,1.0,0.005,0.075,0.325,0.735,0.125,0.125,0.315,0.935,0.075,2.0,2.0,0.059,0.471
41,1.0,2.0,0.995,0.125,0.075,0.815,0.855,0.845,0.765,0.495,0.075,1.0,1.0,0.303,0.959
42,1.0,1.0,0.005,0.075,0.195,0.915,0.325,0.085,0.315,0.935,0.075,2.0,1.0,0.059,0.317
43,1.0,2.0,0.475,0.775,0.745,0.965,0.775,0.365,0.575,0.565,0.775,2.0,1.0,0.573,0.065
44,2.0,1.0,0.445,0.025,0.805,0.395,0.585,0.035,0.495,0.395,0.025,1.0,1.0,0.151,0.477
45,2.0,1.0,0.645,0.575,0.505,0.245,0.145,0.275,0.025,0.855,0.275,2.0,1.0,0.183,0.409
46,1.0,1.0,0.165,0.275,0.195,0.905,0.125,0.045,0.265,0.935,0.125,2.0,1.0,0.059,0.341
47,2.0,2.0,0.245,0.775,0.695,0.595,0.035,0.885,0.965,0.925,0.625,1.0,1.0,0.693,0.193
48,1.0,1.0,0.005,0.075,0.195,0.735,0.245,0.045,0.315,0.935,0.075,2.0,2.0,0.059,0.295
49,2.0,2.0,0.965,0.925,0.815,0.805,0.465,0.995,0.855,0.105,0.275,1.0,2.0,0.905,0.511
50,2.0,1.0,0.445,0.125,0.905,0.455,0.175,0.885,0.135,0.225,0.975,2.0,1.0,0.985,0.993
51,1.0,1.0,0.685,0.225,0.995,0.555,0.295,0.455,0.455,0.815,0.825,1.0,2.0,0.925,0.763
52,2.0,2.0,0.245,0.775,0.695,0.775,0.035,0.885,0.965,0.925,0.625,1.0,1.0,0.693,0.193
53,2.0,2.0,0.405,0.325,0.605,0.935,0.495,0.185,0.695,0.875,0.975,2.0,1.0,0.491,0.897
54,2.0,2.0,0.975,0.425,0.775,0.805,0.895,0.245,0.145,0.265,0.725,2.0,1.0,0.597,0.667
55,1.0,2.0,0.005,0.075,0.195,0.625,0.005,0.095,0.315,0.925,0.025,2.0,2.0,0.059,0.295
56,1.0,1.0,0.315,0.325,0.545,0.005,0.675,0.485,0.895,0.165,0.175,2.0,2.0,0.753,0.171
57,2.0,1.0,0.445,0.425,0.905,0.235,0.235,0.465,0.135,0.225,0.975,2.0,2.0,0.679,0.857
