23: constrained_branching='0', dom_opt='0', f_clique_lb='12', f_clique_lb_c='14', f_deg2='78', f_deg2_heur='38', f_deg3='55', f_dom='9', f_lp='57', f_lp_lb='31', f_lp_lb_c='3', lb_opt='1', lb_opt_c='1', limit_kern_branch='38', limit_kern_start='38'
24: constrained_branching='1', dom_opt='0', f_clique_lb='93', f_clique_lb_c='14', f_deg2='79', f_deg2_heur='93', f_deg3='34', f_dom='36', f_lp='98', f_lp_lb='67', f_lp_lb_c='7', lb_opt='1', lb_opt_c='0', limit_kern_branch='249', limit_kern_start='433'
25: constrained_branching='1', dom_opt='1', f_clique_lb='3', f_clique_lb_c='10', f_deg2='19', f_deg2_heur='85', f_deg3='83', f_dom='60', f_lp='36', f_lp_lb='12', f_lp_lb_c='9', lb_opt='0', lb_opt_c='1', limit_kern_branch='329', limit_kern_start='449'
26: constrained_branching='0', dom_opt='0', f_clique_lb='76', f_clique_lb_c='1', f_deg2='45', f_deg2_heur='40', f_deg3='59', f_dom='4', f_lp='50', f_lp_lb='40', f_lp_lb_c='8', lb_opt='0', lb_opt_c='0', limit_kern_branch='391', limit_kern_start='239'
27: constrained_branching='0', dom_opt='0', f_clique_lb='1', f_clique_lb_c='2', f_deg2='20', f_deg2_heur='74', f_deg3='13', f_dom='5', f_lp='32', f_lp_lb='94', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='30', limit_kern_start='148'
28: constrained_branching='0', dom_opt='1', f_clique_lb='6', f_clique_lb_c='17', f_deg2='45', f_deg2_heur='28', f_deg3='43', f_dom='50', f_lp='51', f_lp_lb='33', f_lp_lb_c='17', lb_opt='0', lb_opt_c='1', limit_kern_branch='497', limit_kern_start='202'
29: constrained_branching='0', dom_opt='0', f_clique_lb='32', f_clique_lb_c='16', f_deg2='33', f_deg2_heur='11', f_deg3='22', f_dom='24', f_lp='29', f_lp_lb='60', f_lp_lb_c='2', lb_opt='0', lb_opt_c='1', limit_kern_branch='238', limit_kern_start='123'
30: constrained_branching='1', dom_opt='1', f_clique_lb='1', f_clique_lb_c='2', f_deg2='19', f_deg2_heur='84', f_deg3='83', f_dom='48', f_lp='36', f_lp_lb='27', f_lp_lb_c='1', lb_opt='1', lb_opt_c='1', limit_kern_branch='119', limit_kern_start='484'
31: constrained_branching='0', dom_opt='1', f_clique_lb='23', f_clique_lb_c='19', f_deg2='55', f_deg2_heur='16', f_deg3='77', f_dom='15', f_lp='48', f_lp_lb='98', f_lp_lb_c='11', lb_opt='1', lb_opt_c='0', limit_kern_branch='69', limit_kern_start='75'
32: constrained_branching='0', dom_opt='0', f_clique_lb='1', f_clique_lb_c='2', f_deg2='20', f_deg2_heur='74', f_deg3='13', f_dom='5', f_lp='32', f_lp_lb='94', f_lp_lb_c='4', lb_opt='1', lb_opt_c='1', limit_kern_branch='30', limit_kern_start='148'
33: constrained_branching='0', dom_opt='1', f_clique_lb='20', f_clique_lb_c='10', f_deg2='80', f_deg2_heur='46', f_deg3='16', f_dom='16', f_lp='65', f_lp_lb='27', f_lp_lb_c='14', lb_opt='1', lb_opt_c='0', limit_kern_branch='13', limit_kern_start='118'
34: constrained_branching='0', dom_opt='0', f_clique_lb='1', f_clique_lb_c='2', f_deg2='20', f_deg2_heur='74', f_deg3='33', f_dom='5', f_lp='32', f_lp_lb='94', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='30', limit_kern_start='204'
35: constrained_branching='0', dom_opt='1', f_clique_lb='14', f_clique_lb_c='16', f_deg2='23', f_deg2_heur='27', f_deg3='46', f_dom='30', f_lp='91', f_lp_lb='76', f_lp_lb_c='4', lb_opt='1', lb_opt_c='0', limit_kern_branch='391', limit_kern_start='175'
36: constrained_branching='0', dom_opt='0', f_clique_lb='1', f_clique_lb_c='2', f_deg2='20', f_deg2_heur='74', f_deg3='13', f_dom='5', f_lp='32', f_lp_lb='94', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='15', limit_kern_start='148'
37: constrained_branching='1', dom_opt='1', f_clique_lb='79', f_clique_lb_c='18', f_deg2='28', f_deg2_heur='49', f_deg3='17', f_dom='93', f_lp='31', f_lp_lb='73', f_lp_lb_c='14', lb_opt='1', lb_opt_c='1', limit_kern_branch='98', limit_kern_start='47'
38: constrained_branching='0', dom_opt='0', f_clique_lb='5', f_clique_lb_c='2', f_deg2='20', f_deg2_heur='74', f_deg3='13', f_dom='5', f_lp='32', f_lp_lb='94', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='30', limit_kern_start='148'
39: constrained_branching='0', dom_opt='0', f_clique_lb='62', f_clique_lb_c='12', f_deg2='94', f_deg2_heur='28', f_deg3='41', f_dom='18', f_lp='69', f_lp_lb='17', f_lp_lb_c='3', lb_opt='1', lb_opt_c='1', limit_kern_branch='39', limit_kern_start='163'
40: constrained_branching='0', dom_opt='0', f_clique_lb='1', f_clique_lb_c='2', f_deg2='33', f_deg2_heur='74', f_deg3='13', f_dom='13', f_lp='32', f_lp_lb='94', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='30', limit_kern_start='236'
41: constrained_branching='0', dom_opt='1', f_clique_lb='100', f_clique_lb_c='3', f_deg2='8', f_deg2_heur='82', f_deg3='86', f_dom='85', f_lp='77', f_lp_lb='50', f_lp_lb_c='2', lb_opt='0', lb_opt_c='0', limit_kern_branch='152', limit_kern_start='480'
42: constrained_branching='0', dom_opt='0', f_clique_lb='1', f_clique_lb_c='2', f_deg2='20', f_deg2_heur='92', f_deg3='33', f_dom='9', f_lp='32', f_lp_lb='94', f_lp_lb_c='2', lb_opt='1', lb_opt_c='0', limit_kern_branch='30', limit_kern_start='159'
43: constrained_branching='0', dom_opt='1', f_clique_lb='48', f_clique_lb_c='16', f_deg2='75', f_deg2_heur='97', f_deg3='78', f_dom='37', f_lp='58', f_lp_lb='57', f_lp_lb_c='16', lb_opt='1', lb_opt_c='0', limit_kern_branch='287', limit_kern_start='33'
44: constrained_branching='1', dom_opt='0', f_clique_lb='45', f_clique_lb_c='1', f_deg2='81', f_deg2_heur='40', f_deg3='59', f_dom='4', f_lp='50', f_lp_lb='40', f_lp_lb_c='1', lb_opt='0', lb_opt_c='0', limit_kern_branch='76', limit_kern_start='239'
45: constrained_branching='1', dom_opt='0', f_clique_lb='65', f_clique_lb_c='12', f_deg2='51', f_deg2_heur='25', f_deg3='15', f_dom='28', f_lp='3', f_lp_lb='86', f_lp_lb_c='6', lb_opt='1', lb_opt_c='0', limit_kern_branch='92', limit_kern_start='205'
46: constrained_branching='0', dom_opt='0', f_clique_lb='17', f_clique_lb_c='6', f_deg2='20', f_deg2_heur='91', f_deg3='13', f_dom='5', f_lp='27', f_lp_lb='94', f_lp_lb_c='3', lb_opt='1', lb_opt_c='0', limit_kern_branch='30', limit_kern_start='171'
47: constrained_branching='1', dom_opt='1', f_clique_lb='25', f_clique_lb_c='16', f_deg2='70', f_deg2_heur='60', f_deg3='4', f_dom='89', f_lp='97', f_lp_lb='93', f_lp_lb_c='13', lb_opt='0', lb_opt_c='0', limit_kern_branch='347', limit_kern_start='97'
48: constrained_branching='0', dom_opt='0', f_clique_lb='1', f_clique_lb_c='2', f_deg2='20', f_deg2_heur='74', f_deg3='25', f_dom='5', f_lp='32', f_lp_lb='94', f_lp_lb_c='2', lb_opt='1', lb_opt_c='1', limit_kern_branch='30', limit_kern_start='148'
49: constrained_branching='1', dom_opt='1', f_clique_lb='97', f_clique_lb_c='19', f_deg2='82', f_deg2_heur='81', f_deg3='47', f_dom='100', f_lp='86', f_lp_lb='11', f_lp_lb_c='6', lb_opt='0', lb_opt_c='1', limit_kern_branch='453', limit_kern_start='256'
50: constrained_branching='1', dom_opt='0', f_clique_lb='45', f_clique_lb_c='3', f_deg2='91', f_deg2_heur='46', f_deg3='18', f_dom='89', f_lp='14', f_lp_lb='23', f_lp_lb_c='20', lb_opt='1', lb_opt_c='0', limit_kern_branch='493', limit_kern_start='497'
51: constrained_branching='0', dom_opt='0', f_clique_lb='69', f_clique_lb_c='5', f_deg2='100', f_deg2_heur='56', f_deg3='30', f_dom='46', f_lp='46', f_lp_lb='82', f_lp_lb_c='17', lb_opt='0', lb_opt_c='1', limit_kern_branch='463', limit_kern_start='382'
52: constrained_branching='1', dom_opt='1', f_clique_lb='25', f_clique_lb_c='16', f_deg2='70', f_deg2_heur='78', f_deg3='4', f_dom='89', f_lp='97', f_lp_lb='93', f_lp_lb_c='13', lb_opt='0', lb_opt_c='0', limit_kern_branch='347', limit_kern_start='97'
53: constrained_branching='1', dom_opt='1', f_clique_lb='41', f_clique_lb_c='7', f_deg2='61', f_deg2_heur='94', f_deg3='50', f_dom='19', f_lp='70', f_lp_lb='88', f_lp_lb_c='20', lb_opt='1', lb_opt_c='0', limit_kern_branch='246', limit_kern_start='449'
