"Validation Configuration ID:1","Instance","OverallObjective","Run #1"
"","vc-test/test-instances/000900_000000005400.input.dimacs","1.51","1.51"
"","vc-test/test-instances/000900_000000009000.input.dimacs","3.57","3.57"
"","vc-test/test-instances/001000_000000003000.input.dimacs","2.35","2.35"
"","vc-test/test-instances/add32.graph.dimacs","0.36","0.36"
"","vc-test/test-instances/adjnoun.graph.dimacs","0.2","0.2"
"","vc-test/test-instances/ca-AstroPh.txt.dimacs","53.72","53.72"
"","vc-test/test-instances/ca-CondMat.txt.dimacs","8.25","8.25"
"","vc-test/test-instances/ca-HepTh.txt.dimacs","2.13","2.13"
"","vc-test/test-instances/celegans_metabolic.graph.dimacs","0.24","0.24"
"","vc-test/test-instances/cond-mat-2005.graph.dimacs","46.9","46.9"
"","vc-test/test-instances/crack.graph.dimacs","47.87","47.87"
"","vc-test/test-instances/email-Eu-core.txt.dimacs","1.55","1.55"
"","vc-test/test-instances/fe_ocean.graph.dimacs","3000.0","300.0"
"","vc-test/test-instances/karate.graph.dimacs","0.16","0.16"
"","vc-test/test-instances/memplus.graph.dimacs","2.55","2.55"
"","vc-test/test-instances/netscience.graph.dimacs","0.93","0.93"
"","vc-test/test-instances/p2p-Gnutella04.txt.dimacs","1.17","1.17"
"","vc-test/test-instances/p2p-Gnutella06.txt.dimacs","0.8","0.8"
"","vc-test/test-instances/p2p-Gnutella08.txt.dimacs","0.5","0.5"
"","vc-test/test-instances/power.graph.dimacs","0.38","0.38"
"","vc-test/test-instances/soc-Epinions1.txt.dimacs","44.93","44.93"
"","vc-test/test-instances/soc-Slashdot0902.txt.dimacs","67.85","67.85"
"","vc-test/test-instances/soc-sign-Slashdot090221.txt.dimacs","111.78","111.78"
"","Overall Objective On Test Set","147.81304347826085"
