"Validation Configuration ID:1","Instance","OverallObjective","Run #1"
"","vc-test/test-instances/000800_000000008000.input.dimacs","1.69","1.69"
"","vc-test/test-instances/000900_000000002700.input.dimacs","1.16","1.16"
"","vc-test/test-instances/001000_000000010000.input.dimacs","2.75","2.75"
"","vc-test/test-instances/add20.graph.dimacs","0.23","0.23"
"","vc-test/test-instances/as-22july06.graph.dimacs","2.66","2.66"
"","vc-test/test-instances/as20000102.txt.dimacs","0.37","0.37"
"","vc-test/test-instances/astro-ph.graph.dimacs","42.62","42.62"
"","vc-test/test-instances/ca-GrQc.txt.dimacs","2.9","2.9"
"","vc-test/test-instances/ca-HepPh.txt.dimacs","59.49","59.49"
"","vc-test/test-instances/chesapeake.graph.dimacs","0.14","0.14"
"","vc-test/test-instances/cond-mat.graph.dimacs","3.16","3.16"
"","vc-test/test-instances/dolphins.graph.dimacs","0.16","0.16"
"","vc-test/test-instances/email-Enron.txt.dimacs","5.79","5.79"
"","vc-test/test-instances/email.graph.dimacs","0.39","0.39"
"","vc-test/test-instances/fe_tooth.graph.dimacs","3000.0","300.0"
"","vc-test/test-instances/football.graph.dimacs","223.62","223.62"
"","vc-test/test-instances/jazz.graph.dimacs","0.3","0.3"
"","vc-test/test-instances/loc-gowalla_edges.txt.dimacs","3000.0","300.0"
"","vc-test/test-instances/p2p-Gnutella05.txt.dimacs","0.45","0.45"
"","vc-test/test-instances/p2p-Gnutella09.txt.dimacs","0.38","0.38"
"","vc-test/test-instances/p2p-Gnutella25.txt.dimacs","1.5","1.5"
"","vc-test/test-instances/polblogs.graph.dimacs","0.32","0.32"
"","vc-test/test-instances/soc-Slashdot0811.txt.dimacs","34.45","34.45"
"","vc-test/test-instances/soc-sign-Slashdot081106.txt.dimacs","55.17","55.17"
"","vc-test/test-instances/soc-sign-Slashdot090216.txt.dimacs","61.2","61.2"
"","vc-test/test-instances/soc-sign-epinions.txt.dimacs","124.11","124.11"
"","Overall Objective On Test Set","254.80807692307692"
