file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree_one_rules,degree_two_rules,domination_rules,degree_three_rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,2.35s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,10.48s,872,0,455,0,595,0,580,267,3,78,2,1,correct
random/001000_000000010000.input,4.37s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.14s,34,0,9,0,16,0,16,19,5,3,2,1,correct
dimacs/chesapeake.graph.dimacs,0.15s,22,0,6,1,12,0,10,18,4,1,2,1,correct
dimacs/football.graph.dimacs,145.78s,94,0,67,0,33813,0,25721,84324,27579,5152,4045,1,correct
dimacs/jazz.graph.dimacs,0.12s,158,0,33,0,17,0,17,46,103,2,2,1,correct
dimacs/email.graph.dimacs,0.44s,594,0,178,0,375,0,368,227,120,56,2,1,correct
dimacs/add20.graph.dimacs,0.25s,1265,0,80,0,1009,0,1009,88,171,0,2,1,correct
dimacs/polblogs.graph.dimacs,0.40s,560,0,82,0,491,0,484,90,47,36,2,1,correct
dimacs/as-22july06.graph.dimacs,4.97s,3303,0,7,0,3287,0,3287,12,5,3,2,1,correct
dimacs/cond-mat.graph.dimacs,8.24s,9436,0,2556,0,5035,0,5035,2380,2268,10,2,1,correct
dimacs/astro-ph.graph.dimacs,6.64s,10230,0,2079,0,4573,0,4572,1916,3931,18,3,1,correct
dimacs/fe_tooth.graph.dimacs,
snap/as20000102.txt.dimacs,0.31s,1052,0,4,0,1046,0,1046,6,0,0,2,1,correct
snap/ca-GrQc.txt.dimacs,1.11s,2783,0,654,0,1765,0,1764,606,453,1,3,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.58s,2574,0,0,0,2570,0,2570,0,4,0,0,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.69s,3428,0,0,0,3428,0,3428,0,0,0,1,1,correct
snap/p2p-Gnutella25.txt.dimacs,2.29s,6017,0,1,1,6016,0,6016,3,1,1,2,1,correct
snap/ca-HepPh.txt.dimacs,2.66s,7012,0,1102,0,3839,0,3839,1058,2213,15,2,1,correct
snap/email-Enron.txt.dimacs,36.50s,14437,0,3745,1,8990,0,8979,3460,2389,61,2,1,correct
snap/soc-sign-Slashdot081106.txt.dimacs,90.92s,19614,0,75,0,19525,0,19525,86,19,3,2,1,correct
snap/soc-sign-Slashdot090216.txt.dimacs,81.13s,21305,0,103,0,21196,0,21196,111,25,5,2,1,correct
snap/soc-Slashdot0811.txt.dimacs,38.96s,24046,0,368,0,23607,0,23606,383,76,4,3,1,correct
snap/soc-sign-epinions.txt.dimacs,190.43s,28184,0,220,0,27898,0,27898,230,118,23,2,1,correct
snap/loc-gowalla_edges.txt.dimacs,
