file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree one rules,degree_two_rules,domination_rules,degree_three_rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,2.67s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,1.68s,872,0,0,0,225,0,225,0,0,0,0,1,correct
random/001000_000000010000.input,5.09s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.32s,34,3,14,1,16,0,16,0,11,5,1,1,correct
dimacs/chesapeake.graph.dimacs,0.31s,22,5,8,6,7,0,6,0,3,6,1,1,correct
dimacs/football.graph.dimacs,
dimacs/jazz.graph.dimacs,14.13s,158,786,99,43,1689,40,1309,0,494,120,1,1,correct
dimacs/email.graph.dimacs,
dimacs/add20.graph.dimacs,2.96s,1265,52,755,0,964,0,964,0,129,0,1,1,correct
dimacs/polblogs.graph.dimacs,9.15s,560,81,186,9,1670,6,1636,0,480,302,1,1,correct
dimacs/as-22july06.graph.dimacs,5.00s,3303,45,7,12,3336,4,3317,0,0,0,1,1,correct
dimacs/cond-mat.graph.dimacs,
dimacs/astro-ph.graph.dimacs,
dimacs/fe_tooth.graph.dimacs,
snap/as20000102.txt.dimacs,0.52s,1052,5,4,0,1048,0,1048,0,0,0,1,1,correct
snap/ca-GrQc.txt.dimacs,55.16s,2783,331,1270,0,1928,0,1928,0,423,5,1,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.56s,2574,0,0,0,2523,0,2523,0,0,0,0,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.69s,3428,2,0,1,3427,0,3426,0,0,0,1,1,correct
snap/p2p-Gnutella25.txt.dimacs,2.27s,6017,0,0,0,6008,0,6008,0,0,0,0,1,correct
snap/ca-HepPh.txt.dimacs,
snap/email-Enron.txt.dimacs,
snap/soc-sign-Slashdot081106.txt.dimacs,
snap/soc-sign-Slashdot090216.txt.dimacs,118.49s,21305,48,112,0,21198,0,21198,0,11,0,1,1,correct
snap/soc-Slashdot0811.txt.dimacs,69.05s,24046,192,440,0,23723,0,23723,0,44,0,1,1,correct
snap/soc-sign-epinions.txt.dimacs,
snap/loc-gowalla_edges.txt.dimacs,
