file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree_one_rules,degree_two_rules,domination_rules,degree_three_rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,1.73s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,1.06s,872,0,0,0,225,0,225,0,0,0,0,1,correct
random/001000_000000010000.input,2.64s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.15s,34,0,13,0,28,0,28,7,0,0,3,1,correct
dimacs/chesapeake.graph.dimacs,0.16s,22,0,8,1,18,0,17,10,0,0,3,1,correct
dimacs/football.graph.dimacs,69.35s,94,0,67,0,26986,0,26344,986,2316,345,1927,1,correct
dimacs/jazz.graph.dimacs,0.84s,158,0,99,0,165,0,165,19,89,1,9,1,correct
dimacs/email.graph.dimacs,2.15s,594,0,281,0,1311,0,1304,294,114,53,7,1,correct
dimacs/add20.graph.dimacs,2.03s,1265,0,755,0,1432,0,1413,207,0,0,3,1,correct
dimacs/polblogs.graph.dimacs,0.85s,560,0,193,0,637,0,635,97,0,0,2,1,correct
dimacs/as-22july06.graph.dimacs,2.79s,3303,0,7,0,3290,0,3290,6,0,0,2,1,correct
dimacs/cond-mat.graph.dimacs,177.10s,9436,0,6104,0,9339,0,9321,1276,1496,1,6,1,correct
dimacs/astro-ph.graph.dimacs,
dimacs/fe_tooth.graph.dimacs,
snap/as20000102.txt.dimacs,0.34s,1052,0,4,0,1048,0,1048,0,0,0,3,1,correct
snap/ca-GrQc.txt.dimacs,7.35s,2783,0,1270,0,1926,0,1926,0,0,0,3,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.43s,2574,0,0,0,2523,0,2523,0,0,0,0,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.47s,3428,0,0,0,3427,0,3427,0,0,0,2,1,correct
snap/p2p-Gnutella25.txt.dimacs,1.33s,6017,0,0,0,6008,0,6008,0,0,0,0,1,correct
snap/ca-HepPh.txt.dimacs,
snap/email-Enron.txt.dimacs,
snap/soc-sign-Slashdot081106.txt.dimacs,54.86s,19614,0,86,0,19541,0,19539,47,0,0,3,1,correct
snap/soc-sign-Slashdot090216.txt.dimacs,61.16s,21305,0,112,0,21197,0,21197,0,0,0,3,1,correct
snap/soc-Slashdot0811.txt.dimacs,34.06s,24046,0,440,0,23728,0,23728,0,0,0,3,1,correct
snap/soc-sign-epinions.txt.dimacs,125.14s,28184,0,330,0,28005,0,27997,138,31,1,6,1,correct
snap/loc-gowalla_edges.txt.dimacs,
