file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree one rules,degree two rules,domination rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,2.74s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,124.43s,872,22,493,2,848,0,848,0,0,0,1,1,correct
random/001000_000000010000.input,4.29s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.33s,34,14,13,0,32,0,31,0,0,0,2,1,correct
dimacs/chesapeake.graph.dimacs,0.21s,22,7,8,2,13,0,13,0,0,0,1,1,correct
dimacs/football.graph.dimacs,s,0,,0
dimacs/jazz.graph.dimacs,7.36s,158,273,99,5,577,6,459,0,237,0,98,1,correct
dimacs/email.graph.dimacs,s,0,,0
dimacs/add20.graph.dimacs,18.35s,1265,99,787,0,1037,0,1037,0,130,0,1,1,correct
dimacs/polblogs.graph.dimacs,19.43s,560,304,210,8,7960,8,7829,0,43,0,15,1,correct
dimacs/as-22july06.graph.dimacs,3.56s,3303,41,13,4,3335,4,3320,0,0,0,8,1,correct
dimacs/cond-mat.graph.dimacs,s,0,,0
dimacs/astro-ph.graph.dimacs,s,0,,0
dimacs/fe_tooth.graph.dimacs,s,0,,0
snap/as20000102.txt.dimacs,0.58s,1052,5,4,0,1048,0,1048,0,0,0,1,1,correct
snap/ca-GrQc.txt.dimacs,203.30s,2783,393,1366,0,2005,0,2005,0,386,0,1,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.80s,2574,2,7,11,2550,1,2548,0,0,0,1,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.78s,3428,2,0,1,3427,0,3426,0,0,0,1,1,correct
snap/p2p-Gnutella25.txt.dimacs,3.39s,6017,3,1,1,6010,0,6010,0,0,0,1,1,correct
snap/ca-HepPh.txt.dimacs,s,0,,0
snap/email-Enron.txt.dimacs,s,0,,0
snap/soc-sign-Slashdot081106.txt.dimacs,68.03s,19614,68,116,0,19576,0,19572,0,0,0,6,1,correct
snap/soc-sign-Slashdot090216.txt.dimacs,104.34s,21305,83,157,0,21223,0,21223,0,0,0,1,1,correct
snap/soc-Slashdot0811.txt.dimacs,87.99s,24046,270,517,0,23777,0,23777,0,0,0,1,1,correct
snap/soc-sign-epinions.txt.dimacs,s,0,,0
snap/loc-gowalla_edges.txt.dimacs,s,0,,0
