file,time_in_seconds,solution_size,recursive_steps,finished,solution_size_verified
random/000002_000000000002.input,0.12s,0,,1,correct
random/000002_000000000006.input,0.12s,1,5,1,correct
random/000002_000000000012.input,0.12s,2,13,1,correct
random/000002_000000000020.input,0.12s,2,13,1,correct
random/000004_000000000004.input,0.13s,0,,1,correct
random/000004_000000000012.input,0.12s,4,61,1,correct
random/000004_000000000024.input,0.12s,4,61,1,correct
random/000004_000000000040.input,0.12s,4,61,1,correct
random/000006_000000000007.input,0.12s,1,5,1,correct
random/000006_000000000018.input,0.12s,4,61,1,correct
random/000006_000000000036.input,0.12s,4,61,1,correct
random/000006_000000000060.input,0.12s,5,125,1,correct
random/000008_000000000009.input,0.12s,1,5,1,correct
random/000008_000000000024.input,0.12s,5,125,1,correct
random/000008_000000000048.input,0.12s,7,509,1,correct
random/000008_000000000080.input,0.12s,7,509,1,correct
random/000010_000000000012.input,0.12s,2,13,1,correct
random/000010_000000000030.input,0.12s,8,1021,1,correct
random/000010_000000000060.input,0.14s,10,4093,1,correct
random/000010_000000000100.input,0.16s,10,4093,1,correct
random/000012_000000000014.input,0.12s,1,5,1,correct
random/000012_000000000036.input,0.14s,10,4093,1,correct
random/000012_000000000072.input,0.17s,11,8189,1,correct
random/000012_000000000120.input,0.21s,11,8189,1,correct
random/000014_000000000016.input,0.12s,2,13,1,correct
random/000014_000000000042.input,0.12s,8,1021,1,correct
random/000014_000000000084.input,0.35s,13,32765,1,correct
random/000014_000000000140.input,0.48s,13,32765,1,correct
random/000016_000000000019.input,0.12s,1,5,1,correct
random/000016_000000000048.input,0.16s,11,8189,1,correct
random/000016_000000000096.input,1.08s,15,131069,1,correct
random/000016_000000000160.input,1.76s,15,139291,1,correct
random/000018_000000000021.input,0.13s,2,13,1,correct
random/000018_000000000054.input,0.16s,11,8189,1,correct
random/000018_000000000108.input,0.95s,15,131100,1,correct
random/000018_000000000180.input,9.40s,17,543738,1,correct
random/000020_000000000024.input,0.13s,2,13,1,correct
random/000020_000000000060.input,0.81s,15,131069,1,correct
random/000020_000000000120.input,8.62s,18,1048828,1,correct
random/000020_000000000200.input,12.38s,18,1048588,1,correct
random/000022_000000000026.input,0.12s,3,29,1,correct
random/000022_000000000066.input,0.83s,15,131069,1,correct
random/000022_000000000132.input,20.18s,19,2113563,1,correct
random/000022_000000000220.input,57.53s,20,4621432,1,correct
random/000024_000000000028.input,0.12s,4,61,1,correct
random/000024_000000000072.input,0.21s,12,19194,1,correct
random/000024_000000000144.input,171.78s,22,17236217,1,correct
random/000024_000000000240.input,s,0,,0
random/000026_000000000031.input,0.12s,5,140,1,correct
random/000026_000000000078.input,24.95s,20,4194301,1,correct
random/000026_000000000156.input,s,0,,0
random/000026_000000000260.input,s,0,,0
random/000028_000000000033.input,0.13s,4,61,1,correct
random/000028_000000000084.input,26.53s,20,4362297,1,correct
random/000028_000000000168.input,s,0,,0
random/000028_000000000280.input,s,0,,0
random/000030_000000000036.input,0.12s,5,125,1,correct
random/000030_000000000090.input,81.33s,21,11403768,1,correct
random/000030_000000000180.input,s,0,,0
random/000030_000000000300.input,s,0,,0
random/000035_000000000042.input,0.12s,6,253,1,correct
random/000035_000000000105.input,s,0,,0
random/000035_000000000210.input,s,0,,0
random/000035_000000000350.input,s,0,,0
random/000040_000000000048.input,0.12s,7,985,1,correct
random/000040_000000000120.input,s,0,,0
