file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree one rules,degree two rules,domination rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,1.60s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,11.33s,872,0,493,0,599,0,599,260,0,0,1,1,correct
random/001000_000000010000.input,3.81s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.20s,34,0,13,0,19,0,19,10,0,0,2,1,correct
dimacs/chesapeake.graph.dimacs,0.28s,22,0,8,1,10,0,9,21,0,0,2,1,correct
dimacs/football.graph.dimacs,207.51s,94,0,67,0,16128,0,12934,69949,64,0,5170,1,correct
dimacs/jazz.graph.dimacs,22.61s,158,0,99,0,830,0,784,6661,0,0,296,1,correct
dimacs/email.graph.dimacs,s,0,,0
dimacs/add20.graph.dimacs,2.59s,1265,0,787,0,846,0,831,216,0,0,3,1,correct
dimacs/polblogs.graph.dimacs,10.17s,560,0,210,0,3628,0,3491,1750,0,0,17,1,correct
dimacs/as-22july06.graph.dimacs,5.43s,3303,0,13,0,3357,0,3341,69,0,0,12,1,correct
dimacs/cond-mat.graph.dimacs,s,0,,0
dimacs/astro-ph.graph.dimacs,s,0,,0
dimacs/fe_tooth.graph.dimacs,s,0,,0
snap/as20000102.txt.dimacs,0.59s,1052,0,4,0,1045,0,1045,3,0,0,3,1,correct
snap/ca-GrQc.txt.dimacs,10.78s,2783,0,1366,0,1573,0,1552,457,0,0,3,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.92s,2574,0,7,0,2568,0,2568,5,0,0,1,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.78s,3428,0,0,0,3427,0,3427,0,0,0,1,1,correct
snap/p2p-Gnutella25.txt.dimacs,2.72s,6017,0,1,0,6013,0,6013,3,0,0,1,1,correct
snap/ca-HepPh.txt.dimacs,s,0,,0
snap/email-Enron.txt.dimacs,s,0,,0
snap/soc-sign-Slashdot081106.txt.dimacs,102.92s,19614,0,116,0,19508,0,19505,59,0,0,3,1,correct
snap/soc-sign-Slashdot090216.txt.dimacs,87.36s,21305,0,157,0,21168,0,21158,81,0,0,3,1,correct
snap/soc-Slashdot0811.txt.dimacs,55.34s,24046,0,517,0,23568,0,23533,251,0,0,3,1,correct
snap/soc-sign-epinions.txt.dimacs,s,0,,0
snap/loc-gowalla_edges.txt.dimacs,s,0,,0
