file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree one rules,degree two rules,domination rules,lower_bounds,finished,solution_size_verified
random_small/000002_000000000002.input,0.03s,0,0,0,0,0,0,0,0,0,0,1,correct
random_small/000026_000000000260.input,0.03s,25,0,0,0,1,0,1,0,0,0,1,correct
random_small/000070_000000000084.input,0.04s,12,0,0,0,1,0,1,0,0,0,1,correct
random_small/000085_000000000850.input,0.04s,82,1,-2,1,3,0,1,1,0,1,1,correct
random_small/000100_000000001000.input,0.04s,96,1,1,0,2,0,2,1,0,1,1,correct
random_small/000300_000000003000.input,1.05s,296,1,-32,1,2,0,1,88,0,1,1,correct
random_small/000400_000000004000.input,5.01s,396,1,-43,1,2,0,1,128,0,1,1,correct
random_small/000500_000000005000.input,19.98s,498,1,-53,1,2,0,1,200,0,1,1,correct
random_small/000800_000000008000.input,177.59s,796,1,-74,1,2,0,1,403,0,1,1,correct
random_small/000900_000000002700.input,45.20s,872,20,433,4,24,0,17,346,0,1,1,correct
random_small/001000_000000006000.input,s,0,,0
random_small/001000_000000010000.input,s,0,,0
dimacs_small/karate.graph.dimacs,0.03s,14,1,0,0,3,0,2,7,0,1,1,correct
dimacs_small/dolphins.graph.dimacs,0.03s,34,6,7,0,7,0,6,10,3,2,1,correct
dimacs_small/adjnoun.graph.dimacs,0.04s,59,25,15,3,38,1,26,39,4,8,1,correct
dimacs_small/polbooks.graph.dimacs,0.05s,62,19,37,0,22,0,16,35,16,6,1,correct
dimacs_small/football.graph.dimacs,17.46s,94,8580,67,185,7066,108,2616,5123,6653,4004,1,correct
dimacs_small/email.graph.dimacs,2.41s,594,196,214,1,303,0,180,1623,193,96,1,correct
dimacs_small/power.graph.dimacs,0.28s,2203,6,183,0,10,0,7,932,5,2,1,correct
dimacs_small/polblogs.graph.dimacs,1.15s,560,35,160,1,60,1,35,634,32,17,1,correct
dimacs_small/cond-mat.graph.dimacs,253.30s,9436,605,4102,0,83,0,54,3108,603,2,1,correct
snap_small/as20000102.txt.dimacs,0.39s,1052,1,240,0,3,0,2,169,0,1,1,correct
snap_small/email-Eu-core.txt.dimacs,18.94s,579,601,300,1,729,0,402,2361,599,278,1,correct
snap_small/p2p-Gnutella08.txt.dimacs,1.00s,2054,1,45,1,4,0,2,877,0,1,1,correct
snap_small/p2p-Gnutella06.txt.dimacs,36.96s,3405,41,902,6,90,2,42,3251,27,23,1,correct
snap_small/p2p-Gnutella04.txt.dimacs,23.05s,4348,27,1025,2,47,0,28,2548,1,16,1,correct
snap_small/ca-HepPh.txt.dimacs,118.90s,7012,794,2931,0,69,0,44,2205,787,11,1,correct
snap_small/email-Enron.txt.dimacs,s,0,,0
snap_small/soc-sign-Slashdot090221.txt.dimacs,281.51s,21314,22,4503,0,28,0,23,8437,20,18,1,correct
snap_small/soc-sign-epinions.txt.dimacs,298.02s,28184,42,5521,0,56,0,35,5948,37,15,1,correct
