,constrained_branching,dom_opt,f_clique_lb,f_clique_lb_c,f_deg2,f_deg2_heur,f_deg3,f_dom,f_lp,f_lp_lb,f_lp_lb_c,lb_opt,lb_opt_c,limit_kern_branch,limit_kern_start,par10
202002091854_run_history,1,1,1,5,2,80000,3,1,5,1,3,1,0,2,500,42208.3
202002092054_run_history,1,1,40000,5,1,80000,5,1,1,1,1,1,1,1,500,42260.329999999994
202002092323_run_history,1,1,1,5,2,1,3,1,3,40000,5,1,1,2,500,42204.05
202002100042_run_history,1,1,40000,5,1,80000,5,3,5,1,5,1,1,1,500,42557.549999999996
202002100207_run_history,1,1,40000,5,3,1,5,1,5,40000,1,1,1,1,500,42318.26
202002100329_run_history,1,1,10,5,2,80000,3,2,3,1,3,1,0,1,500,42646.57000000001
202002100455_run_history,1,1,10,5,2,80000,5,1,5,10,3,1,1,2,500,42206.16
202002100614_run_history,1,1,1,1,3,1,1,1,40000,40000,1,1,1,1,3,42561.81
