file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree_one_rules,degree_two_rules,domination_rules,degree_three_rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,2.03s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,7.40s,872,0,493,0,851,0,851,0,0,0,1,1,correct
random/001000_000000010000.input,2.69s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.16s,34,0,10,0,30,0,30,9,4,0,1,1,correct
dimacs/chesapeake.graph.dimacs,0.15s,22,0,7,1,21,0,20,9,4,0,1,1,correct
dimacs/football.graph.dimacs,71.46s,94,0,67,0,17473,0,16989,1177,2749,186,1191,1,correct
dimacs/jazz.graph.dimacs,0.24s,158,0,34,1,42,0,42,23,102,0,2,1,correct
dimacs/email.graph.dimacs,0.47s,594,0,233,0,559,0,553,154,46,0,2,1,correct
dimacs/add20.graph.dimacs,0.31s,1265,0,80,0,1049,0,1049,0,171,0,3,1,correct
dimacs/polblogs.graph.dimacs,0.42s,560,0,123,1,604,0,602,64,21,0,1,1,correct
dimacs/as-22july06.graph.dimacs,2.98s,3303,0,9,0,3296,0,3296,9,2,0,1,1,correct
dimacs/cond-mat.graph.dimacs,11.98s,9436,0,2566,0,5992,0,5992,0,2260,0,3,1,correct
dimacs/astro-ph.graph.dimacs,9.03s,10230,0,2034,1,5523,0,5523,962,3936,0,2,1,correct
dimacs/fe_tooth.graph.dimacs,
snap/as20000102.txt.dimacs,0.37s,1052,0,4,0,1048,0,1048,0,0,0,3,1,correct
snap/ca-GrQc.txt.dimacs,1.47s,2783,0,659,0,2004,0,2004,0,451,0,3,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.54s,2574,0,0,0,2570,0,2570,0,4,0,0,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.68s,3428,0,0,0,3427,0,3427,0,0,0,1,1,correct
snap/p2p-Gnutella25.txt.dimacs,1.36s,6017,0,1,0,6014,0,6014,0,0,0,1,1,correct
snap/ca-HepPh.txt.dimacs,3.83s,7012,0,1123,0,4295,0,4295,0,2181,0,3,1,correct
snap/email-Enron.txt.dimacs,31.16s,14437,0,3806,0,10824,0,10822,1756,2305,0,2,1,correct
snap/soc-sign-Slashdot081106.txt.dimacs,54.40s,19614,0,80,0,19555,0,19555,0,16,0,3,1,correct
snap/soc-sign-Slashdot090216.txt.dimacs,61.36s,21305,0,113,0,21225,0,21225,0,20,0,3,1,correct
snap/soc-Slashdot0811.txt.dimacs,33.84s,24046,0,375,0,23776,0,23776,0,72,0,3,1,correct
snap/soc-sign-epinions.txt.dimacs,123.78s,28184,0,253,0,28024,0,28021,134,88,0,2,1,correct
snap/loc-gowalla_edges.txt.dimacs,
