file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree_one_rules,degree_two_rules,domination_rules,degree_three_rules,lower_bounds,finished,solution_size_verified
random/000900_000000005400.input,0.87s,892,0,0,0,892,0,892,0,0,0,0,1,correct
random/000900_000000009000.input,3.15s,895,0,0,0,895,0,895,0,0,0,0,1,correct
random/001000_000000003000.input,9.16s,982,0,571,0,836,0,836,114,0,0,1,1,correct
dimacs/karate.graph.dimacs,0.10s,14,0,1,0,11,0,11,2,0,0,1,1,correct
dimacs/adjnoun.graph.dimacs,0.17s,59,0,23,0,50,0,48,26,6,3,1,1,correct
dimacs/celegans_metabolic.graph.dimacs,0.14s,249,0,193,0,117,0,113,81,6,0,1,1,correct
dimacs/netscience.graph.dimacs,0.22s,899,0,604,0,307,0,300,215,155,0,2,1,correct
dimacs/power.graph.dimacs,0.21s,2203,0,207,0,2043,0,2040,116,5,0,1,1,correct
dimacs/uk.graph.dimacs,
dimacs/add32.graph.dimacs,2.60s,2674,0,2161,0,1781,0,1776,449,0,0,1,1,correct
dimacs/3elt.graph.dimacs,
dimacs/data.graph.dimacs,
dimacs/PGPgiantcompo.graph.dimacs,0.94s,4342,0,1032,0,3418,0,3369,382,238,0,2,1,correct
dimacs/whitaker3.graph.dimacs,
dimacs/crack.graph.dimacs,29.45s,5637,0,5394,0,3694,0,3669,1309,468,5,15,1,correct
dimacs/fe_4elt2.graph.dimacs,
dimacs/cs4.graph.dimacs,
dimacs/4elt.graph.dimacs,
dimacs/cti.graph.dimacs,
dimacs/memplus.graph.dimacs,77.79s,10072,0,9783,0,5179,0,5135,2469,0,0,3,1,correct
dimacs/cond-mat-2005.graph.dimacs,231.28s,23106,0,16802,0,9390,0,9162,5302,3461,0,4,1,correct
dimacs/fe_ocean.graph.dimacs,
snap/email-Eu-core.txt.dimacs,0.58s,579,0,373,0,226,0,221,197,109,4,4,1,correct
snap/p2p-Gnutella08.txt.dimacs,0.28s,2054,0,0,0,2051,0,2051,3,0,0,1,1,correct
snap/ca-HepTh.txt.dimacs,2.57s,4981,0,2146,0,3337,0,3279,757,205,0,2,1,correct
snap/p2p-Gnutella06.txt.dimacs,0.41s,3405,0,-2,0,3404,0,3404,1,0,0,1,1,correct
snap/p2p-Gnutella04.txt.dimacs,0.62s,4348,0,-1,1,4347,0,4346,0,0,0,1,1,correct
snap/facebook_combined.txt.dimacs,
snap/ca-CondMat.txt.dimacs,65.70s,13521,0,9717,0,5567,0,5415,3126,1922,0,2,1,correct
snap/ca-AstroPh.txt.dimacs,71.27s,12012,0,9952,0,3324,0,3240,3048,2896,0,2,1,correct
snap/soc-sign-Slashdot090221.txt.dimacs,61.61s,21314,0,193,0,21145,0,21136,105,0,0,3,1,correct
snap/soc-Epinions1.txt.dimacs,26.15s,22280,0,1068,0,21401,0,21319,456,82,0,4,1,correct
snap/soc-Slashdot0902.txt.dimacs,39.86s,25770,0,1369,0,24946,0,24840,573,31,0,2,1,correct
snap/amazon0302.txt.dimacs,
snap/com-dblp.ungraph.txt.dimacs,
snap/twitter_combined.txt.dimacs,
snap/roadNet-TX.txt.dimacs,
