file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree_one_rules,degree_two_rules,domination_rules,degree_three_rules,lower_bounds,finished,solution_size_verified
random/000900_000000005400.input,0.86s,892,0,0,0,892,0,892,0,0,0,0,1,correct
random/000900_000000009000.input,2.09s,895,0,0,0,895,0,895,0,0,0,0,1,correct
random/001000_000000003000.input,8.49s,982,0,571,0,590,0,590,367,0,0,2,1,correct
dimacs/karate.graph.dimacs,0.09s,14,0,1,0,11,0,11,2,0,0,1,1,correct
dimacs/adjnoun.graph.dimacs,0.18s,59,0,22,0,28,0,27,44,5,2,1,1,correct
dimacs/celegans_metabolic.graph.dimacs,0.14s,249,0,83,0,172,0,172,23,39,0,1,1,correct
dimacs/netscience.graph.dimacs,0.19s,899,0,357,0,334,0,334,181,191,0,2,1,correct
dimacs/power.graph.dimacs,0.32s,2203,0,179,0,2044,0,2044,110,12,0,1,1,correct
dimacs/uk.graph.dimacs,
dimacs/add32.graph.dimacs,0.27s,2674,0,254,0,2153,0,2153,61,399,0,1,1,correct
dimacs/3elt.graph.dimacs,
dimacs/data.graph.dimacs,
dimacs/PGPgiantcompo.graph.dimacs,0.74s,4342,0,407,0,3540,0,3537,204,421,0,1,1,correct
dimacs/whitaker3.graph.dimacs,
dimacs/crack.graph.dimacs,1.60s,5637,0,357,0,3777,0,3755,566,1875,14,2,1,correct
dimacs/fe_4elt2.graph.dimacs,
dimacs/cs4.graph.dimacs,
dimacs/4elt.graph.dimacs,
dimacs/cti.graph.dimacs,
dimacs/memplus.graph.dimacs,8.57s,10072,0,3728,0,6462,0,6462,1130,1350,0,1,1,correct
dimacs/cond-mat-2005.graph.dimacs,22.83s,23106,0,5752,0,11787,0,11784,2640,6047,0,2,1,correct
dimacs/fe_ocean.graph.dimacs,
snap/email-Eu-core.txt.dimacs,0.58s,579,0,209,0,245,0,241,163,153,3,2,1,correct
snap/p2p-Gnutella08.txt.dimacs,0.27s,2054,0,0,0,2051,0,2051,3,0,0,1,1,correct
snap/ca-HepTh.txt.dimacs,0.81s,4981,0,1021,0,3610,0,3607,431,496,0,2,1,correct
snap/p2p-Gnutella06.txt.dimacs,0.42s,3405,0,-2,0,3404,0,3404,1,0,0,1,1,correct
snap/p2p-Gnutella04.txt.dimacs,0.68s,4348,0,-1,1,4347,0,4346,1,0,0,1,1,correct
snap/facebook_combined.txt.dimacs,
snap/ca-CondMat.txt.dimacs,5.48s,13521,0,3307,0,7025,0,7023,1513,3464,0,2,1,correct
snap/ca-AstroPh.txt.dimacs,4.57s,12012,0,2126,0,5296,0,5294,952,4806,0,3,1,correct
snap/soc-sign-Slashdot090221.txt.dimacs,61.03s,21314,0,164,0,21144,0,21143,93,14,0,1,1,correct
snap/soc-Epinions1.txt.dimacs,25.44s,22280,0,570,0,21484,0,21482,290,240,0,1,1,correct
snap/soc-Slashdot0902.txt.dimacs,37.37s,25770,0,890,0,24989,0,24987,420,181,0,2,1,correct
snap/amazon0302.txt.dimacs,
snap/com-dblp.ungraph.txt.dimacs,
snap/twitter_combined.txt.dimacs,
snap/roadNet-TX.txt.dimacs,
