file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree one rules,degree_two_rules,domination_rules,degree_three_rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,2.21s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,13.44s,872,0,493,0,599,0,599,260,0,0,1,1,correct
random/001000_000000010000.input,2.97s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.19s,34,0,10,0,21,0,21,9,5,0,2,1,correct
dimacs/chesapeake.graph.dimacs,0.15s,22,0,7,1,11,0,10,10,4,0,1,1,correct
dimacs/football.graph.dimacs,78.10s,94,0,67,0,4688,0,3712,21892,2448,254,1556,1,correct
dimacs/jazz.graph.dimacs,1.96s,158,0,45,0,198,0,190,469,110,6,35,1,correct
dimacs/email.graph.dimacs,5.73s,594,0,235,0,2033,0,1946,2917,226,104,49,1,correct
dimacs/add20.graph.dimacs,0.40s,1265,0,99,0,1005,0,1005,44,171,0,3,1,correct
dimacs/polblogs.graph.dimacs,1.34s,560,0,123,0,684,0,673,156,21,0,3,1,correct
dimacs/as-22july06.graph.dimacs,6.58s,3303,0,9,0,3350,0,3339,52,2,0,10,1,correct
dimacs/cond-mat.graph.dimacs,35.92s,9436,0,2850,0,4800,0,4800,1192,2238,0,3,1,correct
dimacs/astro-ph.graph.dimacs,90.68s,10230,0,3266,0,4573,0,4571,1949,3603,0,4,1,correct
dimacs/fe_tooth.graph.dimacs,
snap/as20000102.txt.dimacs,0.58s,1052,0,4,0,1045,0,1045,3,0,0,3,1,correct
snap/ca-GrQc.txt.dimacs,2.26s,2783,0,780,0,1697,0,1696,308,393,0,3,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.59s,2574,0,0,0,2570,0,2570,0,4,0,0,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.77s,3428,0,0,0,3427,0,3427,0,0,0,1,1,correct
snap/p2p-Gnutella25.txt.dimacs,2.75s,6017,0,1,0,6013,0,6013,3,0,0,1,1,correct
snap/ca-HepPh.txt.dimacs,43.70s,7012,0,2150,0,3731,0,3728,568,1492,0,3,1,correct
snap/email-Enron.txt.dimacs,
snap/soc-sign-Slashdot081106.txt.dimacs,84.33s,19614,0,80,0,19518,0,19518,44,16,0,3,1,correct
snap/soc-sign-Slashdot090216.txt.dimacs,94.19s,21305,0,113,0,21177,0,21177,62,20,0,3,1,correct
snap/soc-Slashdot0811.txt.dimacs,43.92s,24046,0,376,0,23592,0,23592,193,72,0,3,1,correct
snap/soc-sign-epinions.txt.dimacs,
snap/loc-gowalla_edges.txt.dimacs,
