file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree_one_rules,degree_two_rules,domination_rules,degree_three_rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,2.59s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,12.94s,872,0,376,0,597,0,597,262,0,0,1,1,correct
random/001000_000000010000.input,4.41s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.10s,34,0,0,0,14,0,13,12,3,0,0,1,correct
dimacs/chesapeake.graph.dimacs,0.16s,22,0,7,1,13,0,11,19,4,0,1,1,correct
dimacs/football.graph.dimacs,67.44s,94,0,67,0,3258,0,2468,16490,2804,171,1092,1,correct
dimacs/jazz.graph.dimacs,0.16s,158,0,0,0,12,0,12,28,100,0,0,1,correct
dimacs/email.graph.dimacs,0.17s,594,0,0,0,299,0,296,199,29,0,0,1,correct
dimacs/add20.graph.dimacs,0.28s,1265,0,0,0,847,0,832,216,0,0,2,1,correct
dimacs/polblogs.graph.dimacs,0.32s,560,0,0,0,425,0,420,105,0,0,0,1,correct
dimacs/as-22july06.graph.dimacs,3.22s,3303,0,0,0,3286,0,3283,12,0,0,0,1,correct
dimacs/cond-mat.graph.dimacs,1.13s,9436,0,1,0,3958,0,3871,2128,1341,0,2,1,correct
dimacs/astro-ph.graph.dimacs,2.40s,10230,0,6,0,3010,0,2927,2435,2511,0,2,1,correct
dimacs/fe_tooth.graph.dimacs,179.64s,50343,0,59,0,13531,0,13398,13579,14934,0,8,1,correct
snap/as20000102.txt.dimacs,0.51s,1052,0,0,0,1044,0,1044,4,0,0,0,1,correct
snap/ca-GrQc.txt.dimacs,0.33s,2783,0,8,0,1580,0,1561,448,303,0,2,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.40s,2574,0,0,0,2563,0,2563,10,0,0,0,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.54s,3428,0,0,0,3427,0,3427,1,0,0,0,1,correct
snap/p2p-Gnutella25.txt.dimacs,2.15s,6017,0,0,0,6013,0,6013,4,0,0,0,1,correct
snap/ca-HepPh.txt.dimacs,2.22s,7012,0,11,0,3185,0,3117,1186,1529,0,2,1,correct
snap/email-Enron.txt.dimacs,7.55s,14437,0,23,0,7587,0,7414,2990,1121,0,3,1,correct
snap/soc-sign-Slashdot081106.txt.dimacs,77.84s,19614,0,0,0,19503,0,19499,64,2,0,0,1,correct
snap/soc-sign-Slashdot090216.txt.dimacs,101.39s,21305,0,0,0,21168,0,21160,80,3,0,0,1,correct
snap/soc-Slashdot0811.txt.dimacs,59.13s,24046,0,3,0,23567,0,23533,251,16,0,2,1,correct
snap/soc-sign-epinions.txt.dimacs,185.91s,28184,0,3,0,27820,0,27798,203,24,0,2,1,correct
snap/loc-gowalla_edges.txt.dimacs,
