file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree_one_rules,degree_two_rules,domination_rules,degree_three_rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,2.73s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,1.83s,872,0,0,0,225,0,225,0,0,0,0,1,correct
random/001000_000000010000.input,5.37s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.26s,34,6,9,1,19,0,19,0,6,3,1,1,correct
dimacs/chesapeake.graph.dimacs,0.24s,22,1,6,1,4,0,4,0,4,1,1,1,correct
dimacs/football.graph.dimacs,
dimacs/jazz.graph.dimacs,7.07s,158,666,33,30,1483,24,1161,0,241,85,31,1,correct
dimacs/email.graph.dimacs,61.52s,594,3591,126,28,18982,41,17210,0,5718,3537,177,1,correct
dimacs/add20.graph.dimacs,1.50s,1265,50,89,0,986,0,986,0,140,0,1,1,correct
dimacs/polblogs.graph.dimacs,1.74s,560,49,70,3,860,5,843,0,118,85,1,1,correct
dimacs/as-22july06.graph.dimacs,3.54s,3303,37,5,12,3328,4,3313,0,2,0,1,1,correct
dimacs/cond-mat.graph.dimacs,
dimacs/astro-ph.graph.dimacs,
dimacs/fe_tooth.graph.dimacs,
snap/as20000102.txt.dimacs,0.59s,1052,5,4,0,1048,0,1048,0,0,0,1,1,correct
snap/ca-GrQc.txt.dimacs,49.94s,2783,326,635,0,1957,0,1957,0,439,0,1,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.67s,2574,0,0,0,2570,0,2570,0,4,0,0,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.84s,3428,2,0,1,3427,0,3426,0,0,0,1,1,correct
snap/p2p-Gnutella25.txt.dimacs,1.89s,6017,0,0,0,6008,0,6008,0,0,0,0,1,correct
snap/ca-HepPh.txt.dimacs,
snap/email-Enron.txt.dimacs,
snap/soc-sign-Slashdot081106.txt.dimacs,79.22s,19614,36,60,0,19538,0,19538,0,15,0,1,1,correct
snap/soc-sign-Slashdot090216.txt.dimacs,74.77s,21305,46,84,0,21208,0,21208,0,19,0,1,1,correct
snap/soc-Slashdot0811.txt.dimacs,63.51s,24046,188,350,0,23757,0,23757,0,67,0,1,1,correct
snap/soc-sign-epinions.txt.dimacs,
snap/loc-gowalla_edges.txt.dimacs,
