file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree_one_rules,degree_two_rules,domination_rules,degree_three_rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,2.36s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,17.48s,872,22,493,2,848,0,848,0,0,0,1,1,correct
random/001000_000000010000.input,3.98s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.15s,34,73,13,9,127,27,96,0,1,0,4,1,correct
dimacs/chesapeake.graph.dimacs,0.14s,22,7,8,2,13,0,13,0,0,0,1,1,correct
dimacs/football.graph.dimacs,
dimacs/jazz.graph.dimacs,98.13s,158,754896,99,116294,945332,338649,567899,27,18453,0,38474,1,correct
dimacs/email.graph.dimacs,
dimacs/add20.graph.dimacs,2.39s,1265,141,787,0,1037,0,1037,0,88,0,1,1,correct
dimacs/polblogs.graph.dimacs,6.09s,560,5456,210,546,55163,2436,52455,0,178,0,265,1,correct
dimacs/as-22july06.graph.dimacs,4.60s,3303,165,13,23,3457,61,3380,0,0,0,6,1,correct
dimacs/cond-mat.graph.dimacs,
dimacs/astro-ph.graph.dimacs,
dimacs/fe_tooth.graph.dimacs,
snap/as20000102.txt.dimacs,0.48s,1052,5,4,0,1048,0,1048,0,0,0,1,1,correct
snap/ca-GrQc.txt.dimacs,6.61s,2783,494,1366,0,2005,0,2005,0,285,0,1,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.45s,2574,2,7,11,2550,1,2548,0,0,0,1,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.68s,3428,2,0,1,3427,0,3426,0,0,0,1,1,correct
snap/p2p-Gnutella25.txt.dimacs,1.81s,6017,3,1,1,6010,0,6010,0,0,0,1,1,correct
snap/ca-HepPh.txt.dimacs,
snap/email-Enron.txt.dimacs,
snap/soc-sign-Slashdot081106.txt.dimacs,
snap/soc-sign-Slashdot090216.txt.dimacs,116.10s,21305,83,157,0,21223,0,21223,0,0,0,1,1,correct
snap/soc-Slashdot0811.txt.dimacs,53.83s,24046,270,517,0,23777,0,23777,0,0,0,1,1,correct
snap/soc-sign-epinions.txt.dimacs,
snap/loc-gowalla_edges.txt.dimacs,
