file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree_one_rules,degree_two_rules,domination_rules,degree_three_rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,1.54s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,1.45s,872,0,0,0,225,0,225,0,0,0,0,1,correct
random/001000_000000010000.input,4.03s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.16s,34,0,10,0,30,0,30,9,4,0,2,1,correct
dimacs/chesapeake.graph.dimacs,0.16s,22,0,7,1,20,0,20,7,4,0,2,1,correct
dimacs/football.graph.dimacs,
dimacs/jazz.graph.dimacs,0.32s,158,0,34,1,42,0,42,23,102,0,2,1,correct
dimacs/email.graph.dimacs,1.26s,594,0,173,0,904,0,898,217,98,29,3,1,correct
dimacs/add20.graph.dimacs,0.45s,1265,0,89,0,991,0,991,48,140,0,2,1,correct
dimacs/polblogs.graph.dimacs,0.51s,560,0,122,1,601,0,600,63,20,0,2,1,correct
dimacs/as-22july06.graph.dimacs,2.76s,3303,0,5,0,3319,0,3313,9,2,0,4,1,correct
dimacs/cond-mat.graph.dimacs,23.02s,9436,0,2583,0,6166,0,6166,1199,2217,0,2,1,correct
dimacs/astro-ph.graph.dimacs,142.61s,10230,0,2074,0,9361,0,9358,2911,3888,2,4,1,correct
dimacs/fe_tooth.graph.dimacs,
snap/as20000102.txt.dimacs,0.36s,1052,0,4,0,1049,0,1049,3,0,0,2,1,correct
snap/ca-GrQc.txt.dimacs,7.99s,2783,0,635,0,2006,0,2005,300,439,0,3,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.36s,2574,0,0,0,2570,0,2570,0,4,0,0,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.59s,3428,0,0,0,3428,0,3428,0,0,0,1,1,correct
snap/p2p-Gnutella25.txt.dimacs,1.37s,6017,0,0,0,6008,0,6008,0,0,0,0,1,correct
snap/ca-HepPh.txt.dimacs,121.20s,7012,0,1117,0,4318,0,4317,534,2150,0,3,1,correct
snap/email-Enron.txt.dimacs,38.21s,14437,0,3695,0,10571,0,10571,1729,2238,0,2,1,correct
snap/soc-sign-Slashdot081106.txt.dimacs,53.86s,19614,0,60,0,19540,0,19540,34,15,0,2,1,correct
snap/soc-sign-Slashdot090216.txt.dimacs,61.13s,21305,0,84,0,21213,0,21213,47,19,0,2,1,correct
snap/soc-Slashdot0811.txt.dimacs,33.68s,24046,0,350,0,23763,0,23762,183,67,0,3,1,correct
snap/soc-sign-epinions.txt.dimacs,124.88s,28184,0,184,0,27924,0,27923,101,78,0,2,1,correct
snap/loc-gowalla_edges.txt.dimacs,
