file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree_one_rules,degree_two_rules,domination_rules,degree_three_rules,lower_bounds,finished,solution_size_verified
random/000900_000000005400.input,0.86s,892,0,0,0,892,0,892,0,0,0,0,1,correct
random/000900_000000009000.input,2.07s,895,0,0,0,895,0,895,0,0,0,0,1,correct
random/001000_000000003000.input,1.47s,982,0,0,0,243,0,243,114,0,0,0,1,correct
dimacs/karate.graph.dimacs,0.10s,14,0,0,0,11,0,11,2,0,0,0,1,correct
dimacs/adjnoun.graph.dimacs,0.17s,59,0,7,0,31,0,31,29,3,0,2,1,correct
dimacs/celegans_metabolic.graph.dimacs,0.13s,249,0,0,0,117,0,113,81,6,0,0,1,correct
dimacs/netscience.graph.dimacs,0.36s,899,0,4,0,306,0,299,215,155,0,2,1,correct
dimacs/power.graph.dimacs,0.22s,2203,0,0,0,2043,0,2040,116,5,0,0,1,correct
dimacs/uk.graph.dimacs,
dimacs/add32.graph.dimacs,0.22s,2674,0,0,0,1781,0,1776,449,0,0,0,1,correct
dimacs/3elt.graph.dimacs,
dimacs/data.graph.dimacs,
dimacs/PGPgiantcompo.graph.dimacs,0.84s,4342,0,4,0,3411,0,3368,371,243,0,2,1,correct
dimacs/whitaker3.graph.dimacs,
dimacs/crack.graph.dimacs,30.60s,5637,0,50,0,3130,0,3122,1006,423,2,5,1,correct
dimacs/fe_4elt2.graph.dimacs,
dimacs/cs4.graph.dimacs,
dimacs/4elt.graph.dimacs,
dimacs/cti.graph.dimacs,
dimacs/memplus.graph.dimacs,1.50s,10072,0,2,0,5174,0,5132,2468,0,0,3,1,correct
dimacs/cond-mat-2005.graph.dimacs,25.03s,23106,0,3,0,9351,0,9154,5263,3481,0,2,1,correct
dimacs/fe_ocean.graph.dimacs,
snap/email-Eu-core.txt.dimacs,0.62s,579,0,23,0,213,0,209,209,105,0,2,1,correct
snap/p2p-Gnutella08.txt.dimacs,0.42s,2054,0,0,0,2051,0,2051,3,0,0,0,1,correct
snap/ca-HepTh.txt.dimacs,1.83s,4981,0,7,0,3335,0,3277,756,205,0,2,1,correct
snap/p2p-Gnutella06.txt.dimacs,0.42s,3405,0,0,0,3404,0,3404,1,0,0,0,1,correct
snap/p2p-Gnutella04.txt.dimacs,0.59s,4348,0,0,0,4345,0,4345,0,0,0,0,1,correct
snap/facebook_combined.txt.dimacs,
snap/ca-CondMat.txt.dimacs,6.76s,13521,0,4,0,5553,0,5409,3116,1921,0,2,1,correct
snap/ca-AstroPh.txt.dimacs,39.62s,12012,0,19,0,3297,0,3222,3039,2876,0,3,1,correct
snap/soc-sign-Slashdot090221.txt.dimacs,61.78s,21314,0,2,0,21140,0,21133,104,0,0,3,1,correct
snap/soc-Epinions1.txt.dimacs,26.13s,22280,0,4,0,21395,0,21316,454,82,0,3,1,correct
snap/soc-Slashdot0902.txt.dimacs,36.66s,25770,0,0,0,24936,0,24833,566,31,0,2,1,correct
snap/amazon0302.txt.dimacs,
snap/com-dblp.ungraph.txt.dimacs,
snap/twitter_combined.txt.dimacs,
snap/roadNet-TX.txt.dimacs,
