file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree one rules,degree two rules,domination rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,2.89s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,6.17s,872,4,493,0,227,0,227,0,0,0,1,1,correct
random/001000_000000010000.input,4.83s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.29s,34,71,13,8,130,23,100,0,0,0,1,1,correct
dimacs/chesapeake.graph.dimacs,0.19s,22,7,8,2,13,0,13,0,0,0,1,1,correct
dimacs/football.graph.dimacs,s,0,,0
dimacs/jazz.graph.dimacs,s,0,,0
dimacs/email.graph.dimacs,s,0,,0
dimacs/add20.graph.dimacs,s,0,,0
dimacs/polblogs.graph.dimacs,7.03s,560,1435,210,287,23963,552,23261,0,51,0,1,1,correct
dimacs/as-22july06.graph.dimacs,5.59s,3303,159,13,19,3459,51,3385,0,0,0,1,1,correct
dimacs/cond-mat.graph.dimacs,s,0,,0
dimacs/astro-ph.graph.dimacs,s,0,,0
dimacs/fe_tooth.graph.dimacs,s,0,,0
snap/as20000102.txt.dimacs,0.52s,1052,5,4,0,1048,0,1048,0,0,0,1,1,correct
snap/ca-GrQc.txt.dimacs,27.87s,2783,490,1366,0,1930,0,1930,0,261,0,1,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.69s,2574,2,7,11,2550,1,2548,0,0,0,1,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.74s,3428,2,0,1,3427,0,3426,0,0,0,1,1,correct
snap/p2p-Gnutella25.txt.dimacs,2.44s,6017,3,1,1,6010,0,6010,0,0,0,1,1,correct
snap/ca-HepPh.txt.dimacs,s,0,,0
snap/email-Enron.txt.dimacs,s,0,,0
snap/soc-sign-Slashdot081106.txt.dimacs,s,0,,0
snap/soc-sign-Slashdot090216.txt.dimacs,116.69s,21305,59,157,0,21200,0,21200,0,0,0,1,1,correct
snap/soc-Slashdot0811.txt.dimacs,71.94s,24046,239,517,0,23741,0,23741,0,0,0,1,1,correct
snap/soc-sign-epinions.txt.dimacs,s,0,,0
snap/loc-gowalla_edges.txt.dimacs,s,0,,0
