file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree one rules,degree two rules,domination rules,lower_bounds,finished,solution_size_verified
random_small/000002_000000000002.input,0.03s,0,0,0,0,0,0,0,0,0,0,1,correct
random_small/000026_000000000260.input,0.03s,25,0,0,0,1,0,1,0,0,0,1,correct
random_small/000070_000000000084.input,0.03s,12,0,0,0,1,0,1,0,0,0,1,correct
random_small/000085_000000000850.input,0.04s,82,1,-2,1,3,0,2,0,0,1,1,correct
random_small/000100_000000001000.input,0.04s,96,1,2,0,2,0,2,0,0,1,1,correct
random_small/000300_000000003000.input,0.62s,296,2,43,0,4,0,3,0,0,1,1,correct
random_small/000400_000000004000.input,2.31s,396,2,59,2,5,0,3,0,0,1,1,correct
random_small/000500_000000005000.input,7.24s,498,2,98,2,5,0,3,0,0,1,1,correct
random_small/000800_000000008000.input,49.29s,796,2,198,3,5,0,3,0,0,1,1,correct
random_small/000900_000000002700.input,78.07s,872,38,555,0,42,0,36,0,0,1,1,correct
random_small/001000_000000006000.input,70.16s,989,4,449,1,8,0,5,0,0,1,1,correct
random_small/001000_000000010000.input,115.68s,997,2,275,3,5,0,3,0,0,1,1,correct
dimacs_small/karate.graph.dimacs,0.03s,14,3,4,1,5,0,4,0,1,1,1,correct
dimacs_small/dolphins.graph.dimacs,0.03s,34,14,15,0,18,0,14,0,8,4,1,correct
dimacs_small/adjnoun.graph.dimacs,0.07s,59,60,28,7,80,2,58,0,1,23,1,correct
dimacs_small/polbooks.graph.dimacs,0.06s,62,31,39,0,38,0,27,0,27,9,1,correct
dimacs_small/football.graph.dimacs,5.42s,94,10319,67,36,9523,25,4344,0,7075,5087,1,correct
dimacs_small/email.graph.dimacs,267.26s,594,20038,392,1,30418,0,19977,0,16826,9995,1,correct
dimacs_small/power.graph.dimacs,s,0,,0
dimacs_small/polblogs.graph.dimacs,12.57s,560,326,355,2,493,2,325,0,248,151,1,correct
dimacs_small/cond-mat.graph.dimacs,s,0,,0
snap_small/as20000102.txt.dimacs,0.60s,1052,6,420,0,9,0,7,0,1,1,1,correct
snap_small/email-Eu-core.txt.dimacs,187.57s,579,7118,387,9,10344,21,6723,0,6710,3481,1,correct
snap_small/p2p-Gnutella08.txt.dimacs,5.44s,2054,12,893,2,20,0,13,0,7,5,1,correct
snap_small/p2p-Gnutella06.txt.dimacs,159.31s,3405,107,1933,1,169,0,108,0,69,60,1,correct
snap_small/p2p-Gnutella04.txt.dimacs,s,0,,0
snap_small/ca-HepPh.txt.dimacs,s,0,,0
snap_small/email-Enron.txt.dimacs,s,0,,0
snap_small/soc-sign-Slashdot090221.txt.dimacs,s,0,,0
snap_small/soc-sign-epinions.txt.dimacs,s,0,,0
