file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree one rules,degree two rules,domination rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,2.06s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,262.39s,872,41,493,35,547,0,543,207,0,86,1,1,correct
random/001000_000000010000.input,4.74s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.17s,34,8,13,1,25,0,24,15,0,1,3,1,correct
dimacs/chesapeake.graph.dimacs,0.16s,22,2,8,3,5,0,4,9,0,0,1,1,correct
dimacs/football.graph.dimacs,13.28s,94,27331,67,653,22511,301,8374,12968,437,2788,13036,1,correct
dimacs/jazz.graph.dimacs,2.30s,158,770,99,5,595,1,252,446,8,10,337,1,correct
dimacs/email.graph.dimacs,9.27s,594,440,297,0,2310,1,2042,3257,0,465,190,1,correct
dimacs/add20.graph.dimacs,0.93s,1265,4,787,0,847,0,832,215,0,0,1,1,correct
dimacs/polblogs.graph.dimacs,2.01s,560,44,210,31,1864,10,1802,986,0,113,15,1,correct
dimacs/as-22july06.graph.dimacs,7.45s,3303,5,13,2,3291,0,3283,19,0,2,2,1,correct
dimacs/cond-mat.graph.dimacs,s,0,,0
dimacs/astro-ph.graph.dimacs,s,0,,0
dimacs/fe_tooth.graph.dimacs,s,0,,0
snap/as20000102.txt.dimacs,0.51s,1052,2,4,0,1045,0,1045,3,0,0,1,1,correct
snap/ca-GrQc.txt.dimacs,10.26s,2783,323,1366,0,1573,0,1552,457,0,0,1,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.74s,2574,2,7,11,2550,1,2548,0,0,0,1,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.77s,3428,2,0,1,3427,0,3426,0,0,0,1,1,correct
snap/p2p-Gnutella25.txt.dimacs,2.77s,6017,2,1,1,6010,0,6010,1,0,0,1,1,correct
snap/ca-HepPh.txt.dimacs,s,0,,0
snap/email-Enron.txt.dimacs,s,0,,0
snap/soc-sign-Slashdot081106.txt.dimacs,73.59s,19614,8,116,1,19539,0,19533,114,0,2,2,1,correct
snap/soc-sign-Slashdot090216.txt.dimacs,77.27s,21305,5,157,0,21168,0,21159,80,0,0,1,1,correct
snap/soc-Slashdot0811.txt.dimacs,49.91s,24046,23,517,0,23569,0,23534,250,0,1,1,1,correct
snap/soc-sign-epinions.txt.dimacs,179.78s,28184,38,453,0,28398,0,28289,924,0,31,9,1,correct
snap/loc-gowalla_edges.txt.dimacs,s,0,,0
