file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree_one_rules,degree_two_rules,domination_rules,degree_three_rules,lower_bounds,finished,solution_size_verified
random/000800_000000008000.input,2.86s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000002700.input,9.40s,872,0,458,0,226,0,225,58,3,71,1,1,correct
random/001000_000000010000.input,4.96s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.17s,34,0,9,0,13,0,13,10,5,3,1,1,correct
dimacs/chesapeake.graph.dimacs,0.20s,22,0,6,1,22,0,21,0,9,6,1,1,correct
dimacs/football.graph.dimacs,250.69s,94,0,67,0,90995,0,84189,16441,27942,4623,3899,1,correct
dimacs/jazz.graph.dimacs,0.30s,158,0,45,0,46,0,44,17,104,0,3,1,correct
dimacs/email.graph.dimacs,0.80s,594,0,206,0,546,0,535,154,130,63,4,1,correct
dimacs/add20.graph.dimacs,0.26s,1265,0,99,0,1000,0,998,51,165,0,1,1,correct
dimacs/polblogs.graph.dimacs,0.44s,560,0,97,0,412,0,410,49,46,32,1,1,correct
dimacs/as-22july06.graph.dimacs,3.91s,3303,0,7,0,3286,0,3285,7,5,3,1,1,correct
dimacs/cond-mat.graph.dimacs,5.30s,9436,0,2849,0,4804,0,4791,1272,2220,10,5,1,correct
dimacs/astro-ph.graph.dimacs,19.00s,10230,0,3322,0,4949,0,4903,1329,4913,16,33,1,correct
dimacs/fe_tooth.graph.dimacs,
snap/as20000102.txt.dimacs,0.54s,1052,0,4,0,1044,0,1044,4,0,0,1,1,correct
snap/ca-GrQc.txt.dimacs,1.74s,2783,0,778,0,1748,0,1739,322,471,1,8,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.71s,2574,0,0,0,2570,0,2570,0,4,0,0,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.86s,3428,0,0,0,3427,0,3427,1,0,0,1,1,correct
snap/p2p-Gnutella25.txt.dimacs,3.33s,6017,0,1,0,6013,0,6013,3,1,1,1,1,correct
snap/ca-HepPh.txt.dimacs,58.75s,7012,0,2146,0,4469,0,4426,807,3481,14,35,1,correct
snap/email-Enron.txt.dimacs,26.54s,14437,0,3993,0,8557,0,8536,1807,2313,53,3,1,correct
snap/soc-sign-Slashdot081106.txt.dimacs,94.87s,19614,0,75,0,19516,0,19515,44,19,3,1,1,correct
snap/soc-sign-Slashdot090216.txt.dimacs,104.66s,21305,0,104,0,21177,0,21176,59,24,5,1,1,correct
snap/soc-Slashdot0811.txt.dimacs,52.40s,24046,0,368,0,23592,0,23592,192,75,4,2,1,correct
snap/soc-sign-epinions.txt.dimacs,181.22s,28184,0,239,0,27857,0,27852,126,107,22,2,1,correct
snap/loc-gowalla_edges.txt.dimacs,
