file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree one rules,degree two rules,domination rules,lower_bounds,finished,solution_size_verified
random/000002_000000000002.input,0.04s,0,0,0,0,0,0,0,0,0,0,1,correct
random/000002_000000000006.input,0.04s,1,1,-1,1,1,0,0,0,0,1,1,correct
random/000002_000000000012.input,0.03s,2,2,-2,1,1,0,0,0,0,1,1,correct
random/000002_000000000020.input,0.03s,2,1,-3,1,2,0,0,1,0,1,1,correct
random/000004_000000000004.input,0.03s,0,0,0,0,0,0,0,0,0,0,1,correct
random/000004_000000000012.input,0.04s,4,3,0,1,3,0,0,1,0,1,1,correct
random/000004_000000000024.input,0.03s,4,2,-2,1,2,0,0,1,0,1,1,correct
random/000004_000000000040.input,0.03s,4,3,-2,1,2,0,0,0,0,1,1,correct
random/000006_000000000007.input,0.03s,1,2,0,0,0,0,0,0,0,1,1,correct
random/000006_000000000018.input,0.03s,4,3,0,1,1,0,0,0,0,1,1,correct
random/000006_000000000036.input,0.03s,4,2,-3,1,2,0,0,1,0,1,1,correct
random/000006_000000000060.input,0.03s,5,2,-3,1,1,0,0,0,0,1,1,correct
random/000008_000000000009.input,0.03s,1,2,0,0,0,0,0,0,0,1,1,correct
random/000008_000000000024.input,0.03s,5,2,-1,1,2,0,0,2,0,1,1,correct
random/000008_000000000048.input,0.03s,7,5,-1,1,5,0,0,1,0,1,1,correct
random/000008_000000000080.input,0.03s,7,4,-3,2,4,0,0,1,0,1,1,correct
random/000010_000000000012.input,0.03s,2,3,0,0,1,0,0,0,0,1,1,correct
random/000010_000000000030.input,0.03s,8,6,1,1,6,0,0,2,0,1,1,correct
random/000010_000000000060.input,0.03s,10,5,1,2,5,0,0,2,0,1,1,correct
random/000010_000000000100.input,0.03s,10,1,-1,1,2,0,0,1,0,1,1,correct
random/000012_000000000014.input,0.03s,1,0,0,0,1,0,0,1,0,0,1,correct
random/000012_000000000036.input,0.04s,10,9,3,0,8,0,0,2,0,1,1,correct
random/000012_000000000072.input,0.03s,11,4,1,2,4,0,0,2,0,1,1,correct
random/000012_000000000120.input,0.03s,11,5,-3,1,5,0,0,3,0,1,1,correct
random/000014_000000000016.input,0.03s,2,3,0,0,1,0,0,0,0,1,1,correct
random/000014_000000000042.input,0.03s,8,2,0,1,2,0,0,3,0,1,1,correct
random/000014_000000000084.input,0.04s,13,5,1,1,5,0,0,3,0,1,1,correct
random/000014_000000000140.input,0.03s,13,2,0,1,2,0,0,1,0,1,1,correct
random/000016_000000000019.input,0.03s,1,1,-1,1,1,0,0,0,0,1,1,correct
random/000016_000000000048.input,0.04s,11,9,2,0,8,0,0,3,0,1,1,correct
random/000016_000000000096.input,0.03s,15,9,2,1,9,0,0,4,0,1,1,correct
random/000016_000000000160.input,0.04s,15,3,-1,3,4,0,0,4,0,1,1,correct
random/000018_000000000021.input,0.06s,2,2,0,0,1,0,0,1,0,1,1,correct
random/000018_000000000054.input,0.03s,11,12,4,0,10,0,0,0,0,1,1,correct
random/000018_000000000108.input,0.04s,15,12,3,1,12,0,0,2,0,1,1,correct
random/000018_000000000180.input,0.04s,17,10,-3,1,10,0,0,7,0,1,1,correct
random/000020_000000000024.input,0.03s,2,0,0,0,1,0,0,2,0,0,1,correct
random/000020_000000000060.input,0.03s,15,12,4,0,11,0,0,4,0,1,1,correct
random/000020_000000000120.input,0.06s,18,13,4,1,13,0,0,4,0,1,1,correct
random/000020_000000000200.input,0.04s,18,3,0,2,3,0,0,4,0,1,1,correct
random/000022_000000000026.input,0.03s,3,3,0,0,2,0,0,1,0,1,1,correct
random/000022_000000000066.input,0.03s,15,14,6,0,13,0,0,2,0,1,1,correct
random/000022_000000000132.input,0.04s,19,15,4,1,15,0,0,4,0,1,1,correct
random/000022_000000000220.input,0.04s,20,11,-1,1,11,0,0,7,0,1,1,correct
random/000024_000000000028.input,0.04s,4,5,1,0,3,0,0,0,0,1,1,correct
random/000024_000000000072.input,0.03s,12,5,1,2,5,0,0,4,0,1,1,correct
random/000024_000000000144.input,0.04s,22,17,6,1,17,0,0,5,0,1,1,correct
random/000024_000000000240.input,0.04s,22,2,3,2,2,0,0,5,0,1,1,correct
random/000026_000000000031.input,0.03s,5,5,1,0,4,0,0,1,0,1,1,correct
random/000026_000000000078.input,0.04s,20,14,6,0,13,0,0,7,0,1,1,correct
random/000026_000000000156.input,0.04s,23,16,5,1,16,0,0,6,0,1,1,correct
random/000026_000000000260.input,0.08s,25,6,1,2,7,0,0,9,0,1,1,correct
random/000028_000000000033.input,0.03s,4,0,0,0,1,0,0,4,0,0,1,correct
random/000028_000000000084.input,0.03s,20,14,5,0,13,0,0,7,0,1,1,correct
random/000028_000000000168.input,0.04s,26,12,1,1,12,0,0,13,0,1,1,correct
random/000028_000000000280.input,0.05s,22,8,-7,1,8,0,0,13,0,1,1,correct
random/000030_000000000036.input,0.03s,5,5,2,0,4,0,0,1,0,1,1,correct
random/000030_000000000090.input,0.03s,21,13,5,1,13,0,0,8,0,1,1,correct
random/000030_000000000180.input,0.04s,27,12,2,1,12,0,0,14,0,1,1,correct
random/000030_000000000300.input,0.05s,25,8,-4,1,7,0,0,12,0,1,1,correct
random/000035_000000000042.input,0.04s,6,6,2,0,5,0,0,1,0,1,1,correct
random/000035_000000000105.input,0.03s,26,17,9,0,16,0,0,10,0,1,1,correct
random/000035_000000000210.input,0.04s,26,9,-4,1,9,0,0,17,0,1,1,correct
random/000035_000000000350.input,0.07s,34,11,0,1,11,0,0,16,0,1,1,correct
random/000040_000000000048.input,0.03s,7,2,1,2,3,0,0,4,0,1,1,correct
random/000040_000000000120.input,0.03s,30,13,8,1,14,0,0,17,0,1,1,correct
random/000040_000000000240.input,0.05s,35,8,-5,1,8,0,0,27,0,1,1,correct
random/000040_000000000400.input,0.12s,36,6,-13,1,5,0,0,30,0,1,1,correct
random/000045_000000000054.input,0.03s,6,4,1,0,3,0,0,3,0,1,1,correct
random/000045_000000000135.input,0.04s,32,11,6,1,11,0,0,21,0,1,1,correct
random/000045_000000000270.input,0.07s,39,7,-7,1,7,0,0,32,0,1,1,correct
random/000045_000000000450.input,0.29s,40,7,-13,1,6,0,0,33,0,1,1,correct
random/000050_000000000060.input,0.03s,9,8,3,0,7,0,0,2,0,1,1,correct
random/000050_000000000150.input,0.04s,42,15,10,1,17,0,0,27,0,1,1,correct
random/000050_000000000300.input,0.09s,46,6,-9,1,5,0,0,40,0,1,1,correct
random/000050_000000000500.input,0.15s,47,4,-17,1,4,0,0,43,0,1,1,correct
random/000055_000000000066.input,0.03s,8,3,0,0,2,0,0,6,0,1,1,correct
random/000055_000000000165.input,0.04s,39,16,16,1,17,0,0,23,0,1,1,correct
random/000055_000000000330.input,0.09s,48,7,-7,1,7,0,0,41,0,1,1,correct
random/000055_000000000550.input,0.24s,49,3,-18,1,2,0,0,46,0,1,1,correct
random/000060_000000000072.input,0.03s,10,8,3,0,7,0,0,3,0,1,1,correct
random/000060_000000000180.input,0.04s,43,11,6,2,13,0,0,30,0,1,1,correct
random/000060_000000000360.input,0.12s,50,2,-14,1,2,0,0,48,0,1,1,correct
random/000060_000000000600.input,0.27s,53,4,-19,1,3,0,0,49,0,1,1,correct
random/000065_000000000078.input,0.04s,11,7,2,0,6,0,0,5,0,1,1,correct
random/000065_000000000195.input,0.05s,49,11,12,1,11,0,0,38,0,1,1,correct
random/000065_000000000390.input,0.20s,59,3,-14,1,2,0,0,56,0,1,1,correct
random/000065_000000000650.input,0.35s,63,3,-20,1,3,0,0,60,0,1,1,correct
random/000070_000000000084.input,0.03s,12,7,3,0,7,0,0,6,0,1,1,correct
random/000070_000000000210.input,0.08s,56,7,0,1,7,0,0,49,0,1,1,correct
random/000070_000000000420.input,0.18s,60,3,-15,1,3,0,0,57,0,1,1,correct
random/000070_000000000700.input,0.45s,67,2,-22,1,2,0,0,65,0,1,1,correct
random/000075_000000000090.input,0.03s,13,5,0,1,5,0,0,8,0,1,1,correct
random/000075_000000000225.input,0.11s,58,2,-8,1,1,0,0,56,0,1,1,correct
random/000075_000000000450.input,0.24s,68,4,-14,1,4,0,0,64,0,1,1,correct
random/000075_000000000750.input,0.38s,70,4,-21,1,3,0,0,66,0,1,1,correct
random/000080_000000000096.input,0.03s,13,5,1,0,4,0,0,9,0,1,1,correct
random/000080_000000000240.input,0.08s,62,5,10,2,8,0,0,56,0,1,1,correct
random/000080_000000000480.input,0.29s,73,4,-15,1,3,0,0,69,0,1,1,correct
random/000080_000000000800.input,0.62s,77,3,-23,1,2,0,0,74,0,1,1,correct
random/000085_000000000102.input,0.03s,16,9,5,0,9,0,0,8,0,1,1,correct
random/000085_000000000255.input,0.08s,66,7,-1,1,6,0,0,59,0,1,1,correct
random/000085_000000000510.input,0.27s,76,2,-17,1,2,0,0,74,0,1,1,correct
random/000085_000000000850.input,0.64s,82,4,-23,1,3,0,0,78,0,1,1,correct
random/000090_000000000108.input,0.03s,17,5,3,1,5,0,0,12,0,1,1,correct
random/000090_000000000270.input,0.10s,70,6,-4,1,7,0,0,64,0,1,1,correct
random/000090_000000000540.input,0.30s,78,6,-14,1,5,0,0,72,0,1,1,correct
random/000090_000000000900.input,0.79s,85,1,-26,1,1,0,0,84,0,1,1,correct
random/000095_000000000114.input,0.03s,18,8,3,1,8,0,0,10,0,1,1,correct
random/000095_000000000285.input,0.13s,78,9,4,1,11,0,0,69,0,1,1,correct
random/000095_000000000570.input,0.56s,86,6,-14,1,6,0,0,80,0,1,1,correct
random/000095_000000000950.input,0.76s,87,2,-26,1,1,0,0,85,0,1,1,correct
random/000100_000000000120.input,0.03s,20,7,2,1,7,0,0,13,0,1,1,correct
random/000100_000000000300.input,0.10s,86,8,23,2,10,0,0,77,0,1,1,correct
random/000100_000000000600.input,0.57s,95,2,-19,1,1,0,0,93,0,1,1,correct
random/000100_000000001000.input,1.12s,96,1,-28,1,1,0,0,95,0,1,1,correct
random/000200_000000000240.input,0.05s,38,4,-4,1,3,0,0,34,0,1,1,correct
random/000200_000000000600.input,1.16s,178,1,-13,1,2,0,0,177,0,1,1,correct
random/000200_000000001200.input,4.25s,194,1,-28,1,1,0,0,193,0,1,1,correct
random/000200_000000002000.input,11.16s,197,1,-40,1,1,0,0,196,0,1,1,correct
random/000300_000000000360.input,0.12s,58,3,-7,1,4,0,0,55,0,1,1,correct
random/000300_000000000900.input,2.24s,283,6,155,4,8,0,0,274,0,1,1,correct
random/000300_000000001800.input,18.26s,296,2,-33,1,1,0,0,294,0,1,1,correct
random/000300_000000003000.input,39.18s,296,1,-49,1,1,0,0,295,0,1,1,correct
random/000400_000000000480.input,0.16s,78,1,-10,1,2,0,0,77,0,1,1,correct
random/000400_000000001200.input,9.17s,382,20,224,3,20,0,0,360,0,1,1,correct
random/000400_000000002400.input,54.65s,392,1,-40,1,1,0,0,391,0,1,1,correct
random/000400_000000004000.input,110.27s,396,1,-56,1,1,0,0,395,0,1,1,correct
random/000500_000000000600.input,0.84s,100,3,-14,1,2,0,0,97,0,1,1,correct
random/000500_000000001500.input,17.62s,478,20,281,3,22,0,0,455,0,1,1,correct
random/000500_000000003000.input,121.78s,498,1,-44,1,1,0,0,497,0,1,1,correct
random/000500_000000005000.input,241.79s,498,1,-63,1,1,0,0,497,0,1,1,correct
random/000600_000000000720.input,0.72s,119,3,-16,1,3,0,0,116,0,1,1,correct
random/000600_000000001800.input,28.39s,582,22,364,5,26,0,0,555,0,1,1,correct
random/000600_000000003600.input,94.57s,593,1,217,2,2,0,0,580,0,1,1,correct
random/000600_000000006000.input,s,0,,0
random/000700_000000000840.input,1.68s,140,1,-20,1,1,0,0,139,0,1,1,correct
random/000700_000000002100.input,88.28s,681,58,433,2,40,0,0,621,0,1,1,correct
