file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree one rules,degree two rules,domination rules,lower_bounds,finished,solution_size_verified
random/000024_000000000028.input,0.09s,4,0,0,0,4,0,4,0,0,0,0,1,correct
random/000024_000000000072.input,0.09s,12,0,0,0,12,0,12,0,0,0,0,1,correct
random/000024_000000000144.input,0.13s,22,0,0,0,22,0,22,0,0,0,0,1,correct
random/000024_000000000240.input,0.13s,22,0,0,0,22,0,22,0,0,0,0,1,correct
random/000026_000000000031.input,0.09s,5,0,0,0,5,0,5,0,0,0,0,1,correct
random/000026_000000000078.input,0.10s,20,0,0,0,20,0,20,0,0,0,0,1,correct
random/000026_000000000156.input,0.13s,23,0,0,0,23,0,23,0,0,0,0,1,correct
random/000026_000000000260.input,0.10s,25,0,0,0,25,0,25,0,0,0,0,1,correct
random/000028_000000000033.input,0.10s,4,0,0,0,4,0,4,0,0,0,0,1,correct
random/000028_000000000084.input,0.09s,20,0,0,0,20,0,20,0,0,0,0,1,correct
random/000028_000000000168.input,0.09s,26,0,0,0,26,0,26,0,0,0,0,1,correct
random/000028_000000000280.input,0.09s,22,0,0,0,22,0,22,0,0,0,0,1,correct
random/000030_000000000036.input,0.09s,5,0,0,0,5,0,5,0,0,0,0,1,correct
random/000030_000000000090.input,0.09s,21,0,0,0,21,0,21,0,0,0,0,1,correct
random/000030_000000000180.input,0.09s,27,0,0,0,27,0,27,0,0,0,0,1,correct
random/000030_000000000300.input,0.09s,25,0,0,0,25,0,25,0,0,0,0,1,correct
random/000035_000000000042.input,0.09s,6,0,0,0,6,0,6,0,0,0,0,1,correct
random/000035_000000000105.input,0.09s,26,0,0,0,26,0,26,0,0,0,0,1,correct
random/000035_000000000210.input,0.09s,26,0,0,0,26,0,26,0,0,0,0,1,correct
random/000035_000000000350.input,0.09s,34,0,0,0,34,0,34,0,0,0,0,1,correct
random/000040_000000000048.input,0.09s,7,0,0,0,7,0,7,0,0,0,0,1,correct
random/000040_000000000120.input,0.09s,30,0,0,0,30,0,30,0,0,0,0,1,correct
random/000040_000000000240.input,0.09s,35,0,0,0,35,0,35,0,0,0,0,1,correct
random/000040_000000000400.input,0.13s,36,0,0,0,36,0,36,0,0,0,0,1,correct
random/000045_000000000054.input,0.09s,6,0,0,0,6,0,6,0,0,0,0,1,correct
random/000045_000000000135.input,0.13s,32,0,0,0,32,0,32,0,0,0,0,1,correct
random/000045_000000000270.input,0.09s,39,0,0,0,39,0,39,0,0,0,0,1,correct
random/000045_000000000450.input,0.13s,40,0,0,0,40,0,40,0,0,0,0,1,correct
random/000050_000000000060.input,0.09s,9,0,0,0,9,0,9,0,0,0,0,1,correct
random/000050_000000000150.input,0.13s,42,0,0,0,42,0,42,0,0,0,0,1,correct
random/000050_000000000300.input,0.09s,46,0,0,0,46,0,46,0,0,0,0,1,correct
random/000050_000000000500.input,0.09s,47,0,0,0,47,0,47,0,0,0,0,1,correct
random/000055_000000000066.input,0.09s,8,0,0,0,8,0,8,0,0,0,0,1,correct
random/000055_000000000165.input,0.12s,39,0,0,0,39,0,39,0,0,0,0,1,correct
random/000055_000000000330.input,0.13s,48,0,0,0,48,0,48,0,0,0,0,1,correct
random/000055_000000000550.input,0.09s,49,0,0,0,49,0,49,0,0,0,0,1,correct
random/000060_000000000072.input,0.09s,10,0,0,0,10,0,10,0,0,0,0,1,correct
random/000060_000000000180.input,0.11s,43,0,0,0,43,0,43,0,0,0,0,1,correct
random/000060_000000000360.input,0.10s,50,0,0,0,50,0,50,0,0,0,0,1,correct
random/000060_000000000600.input,0.10s,53,0,0,0,53,0,53,0,0,0,0,1,correct
random/000065_000000000078.input,0.09s,11,0,0,0,11,0,11,0,0,0,0,1,correct
random/000065_000000000195.input,0.13s,49,0,0,0,49,0,49,0,0,0,0,1,correct
random/000065_000000000390.input,0.09s,59,0,0,0,59,0,59,0,0,0,0,1,correct
random/000065_000000000650.input,0.10s,63,0,0,0,63,0,63,0,0,0,0,1,correct
random/000070_000000000084.input,0.09s,12,0,0,0,12,0,12,0,0,0,0,1,correct
random/000070_000000000210.input,0.09s,56,0,0,0,56,0,56,0,0,0,0,1,correct
random/000070_000000000420.input,0.09s,60,0,0,0,60,0,60,0,0,0,0,1,correct
random/000070_000000000700.input,0.10s,67,0,0,0,67,0,67,0,0,0,0,1,correct
random/000075_000000000090.input,0.09s,13,0,0,0,13,0,13,0,0,0,0,1,correct
random/000075_000000000225.input,0.13s,58,0,0,0,58,0,58,0,0,0,0,1,correct
random/000075_000000000450.input,0.09s,68,0,0,0,68,0,68,0,0,0,0,1,correct
random/000075_000000000750.input,0.10s,70,0,0,0,70,0,70,0,0,0,0,1,correct
random/000080_000000000096.input,0.09s,13,0,0,0,13,0,13,0,0,0,0,1,correct
random/000080_000000000240.input,0.09s,62,0,0,0,62,0,62,0,0,0,0,1,correct
random/000080_000000000480.input,0.10s,73,0,0,0,73,0,73,0,0,0,0,1,correct
random/000080_000000000800.input,0.10s,77,0,0,0,77,0,77,0,0,0,0,1,correct
random/000085_000000000102.input,0.13s,16,0,0,0,16,0,16,0,0,0,0,1,correct
random/000085_000000000255.input,0.09s,66,0,0,0,66,0,66,0,0,0,0,1,correct
random/000085_000000000510.input,0.10s,76,0,0,0,76,0,76,0,0,0,0,1,correct
random/000085_000000000850.input,0.14s,82,0,0,0,82,0,82,0,0,0,0,1,correct
random/000090_000000000108.input,0.09s,17,0,0,0,17,0,17,0,0,0,0,1,correct
random/000090_000000000270.input,0.09s,70,0,0,0,70,0,70,0,0,0,0,1,correct
random/000090_000000000540.input,0.09s,78,0,0,0,78,0,78,0,0,0,0,1,correct
random/000090_000000000900.input,0.11s,85,0,0,0,85,0,85,0,0,0,0,1,correct
random/000095_000000000114.input,0.13s,18,0,0,0,18,0,18,0,0,0,0,1,correct
random/000095_000000000285.input,0.13s,78,0,0,0,78,0,78,0,0,0,0,1,correct
random/000095_000000000570.input,0.10s,86,0,0,0,86,0,86,0,0,0,0,1,correct
random/000095_000000000950.input,0.15s,87,0,0,0,87,0,87,0,0,0,0,1,correct
random/000100_000000000120.input,0.10s,20,0,0,0,20,0,20,0,0,0,0,1,correct
random/000100_000000000300.input,0.09s,86,0,0,0,86,0,86,0,0,0,0,1,correct
random/000100_000000000600.input,0.10s,95,0,0,0,95,0,95,0,0,0,0,1,correct
random/000100_000000001000.input,0.10s,96,0,0,0,96,0,96,0,0,0,0,1,correct
random/000200_000000000240.input,0.09s,38,0,0,0,38,0,38,0,0,0,0,1,correct
random/000200_000000000600.input,0.14s,178,0,0,0,178,0,178,0,0,0,0,1,correct
random/000200_000000001200.input,0.17s,194,0,0,0,194,0,194,0,0,0,0,1,correct
random/000200_000000002000.input,0.22s,197,0,0,0,197,0,197,0,0,0,0,1,correct
random/000300_000000000360.input,0.09s,58,0,0,0,58,0,58,0,0,0,0,1,correct
random/000300_000000000900.input,0.11s,283,0,0,0,283,0,283,0,0,0,0,1,correct
random/000300_000000001800.input,0.15s,296,0,0,0,296,0,296,0,0,0,0,1,correct
random/000300_000000003000.input,0.23s,296,0,0,0,296,0,296,0,0,0,0,1,correct
random/000400_000000000480.input,0.09s,78,0,0,0,78,0,78,0,0,0,0,1,correct
random/000400_000000001200.input,0.19s,382,0,0,0,382,0,382,0,0,0,0,1,correct
random/000400_000000002400.input,0.28s,392,0,0,0,392,0,392,0,0,0,0,1,correct
random/000400_000000004000.input,0.36s,396,0,0,0,396,0,396,0,0,0,0,1,correct
random/000500_000000000600.input,0.14s,100,0,0,0,100,0,100,0,0,0,0,1,correct
random/000500_000000001500.input,0.15s,478,0,0,0,478,0,478,0,0,0,0,1,correct
random/000500_000000003000.input,0.40s,498,0,0,0,498,0,498,0,0,0,0,1,correct
random/000500_000000005000.input,0.55s,498,0,0,0,498,0,498,0,0,0,0,1,correct
random/000600_000000000720.input,0.10s,119,0,0,0,119,0,119,0,0,0,0,1,correct
random/000600_000000001800.input,0.17s,582,0,0,0,582,0,582,0,0,0,0,1,correct
random/000600_000000003600.input,0.38s,593,0,0,0,593,0,593,0,0,0,0,1,correct
random/000600_000000006000.input,0.81s,595,0,0,0,595,0,595,0,0,0,0,1,correct
random/000700_000000000840.input,0.10s,140,0,0,0,140,0,140,0,0,0,0,1,correct
random/000700_000000002100.input,0.21s,681,0,0,0,681,0,681,0,0,0,0,1,correct
random/000700_000000004200.input,0.51s,692,0,0,0,692,0,692,0,0,0,0,1,correct
random/000700_000000007000.input,1.15s,696,0,0,0,696,0,696,0,0,0,0,1,correct
random/000800_000000000960.input,0.11s,160,0,0,0,160,0,160,0,0,0,0,1,correct
random/000800_000000002400.input,0.25s,784,0,0,0,784,0,784,0,0,0,0,1,correct
random/000800_000000004800.input,0.66s,795,0,0,0,795,0,795,0,0,0,0,1,correct
random/000800_000000008000.input,1.54s,796,0,0,0,796,0,796,0,0,0,0,1,correct
random/000900_000000001080.input,0.11s,180,0,0,0,180,0,180,0,0,0,0,1,correct
random/000900_000000002700.input,1.15s,872,0,0,0,225,0,225,120,0,0,0,1,correct
random/000900_000000005400.input,1.11s,892,0,0,0,892,0,892,0,0,0,0,1,correct
random/000900_000000009000.input,2.80s,895,0,0,0,895,0,895,0,0,0,0,1,correct
random/001000_000000001200.input,0.11s,199,0,0,0,199,0,199,0,0,0,0,1,correct
random/001000_000000003000.input,1.61s,982,0,0,0,243,0,243,114,0,0,0,1,correct
random/001000_000000006000.input,1.07s,989,0,0,0,989,0,989,0,0,0,0,1,correct
random/001000_000000010000.input,3.32s,997,0,0,0,997,0,997,0,0,0,0,1,correct
dimacs/karate.graph.dimacs,0.13s,14,0,0,0,11,0,11,2,0,0,0,1,correct
dimacs/dolphins.graph.dimacs,0.12s,34,0,0,0,14,0,13,12,3,0,0,1,correct
dimacs/chesapeake.graph.dimacs,0.18s,22,0,6,0,6,0,5,9,3,1,1,1,correct
dimacs/adjnoun.graph.dimacs,0.17s,59,0,0,0,24,0,24,19,14,7,0,1,correct
dimacs/polbooks.graph.dimacs,0.18s,62,0,0,0,23,0,23,11,13,1,1,1,correct
dimacs/football.graph.dimacs,96.22s,94,0,67,0,2775,0,2117,14633,2467,398,171,1,correct
dimacs/celegans_metabolic.graph.dimacs,0.13s,249,0,0,0,117,0,113,81,6,0,0,1,correct
dimacs/jazz.graph.dimacs,0.23s,158,0,0,0,9,0,9,30,100,1,0,1,correct
dimacs/netscience.graph.dimacs,0.46s,899,0,4,0,305,0,298,216,155,0,1,1,correct
dimacs/email.graph.dimacs,0.43s,594,0,0,0,293,0,290,181,48,17,0,1,correct
dimacs/add20.graph.dimacs,0.20s,1265,0,0,0,847,0,832,216,0,0,1,1,correct
dimacs/power.graph.dimacs,0.23s,2203,0,0,0,2043,0,2040,116,5,0,0,1,correct
dimacs/uk.graph.dimacs,s,0,,0
dimacs/add32.graph.dimacs,0.23s,2674,0,0,0,1781,0,1776,449,0,0,0,1,correct
dimacs/3elt.graph.dimacs,s,0,,0
dimacs/data.graph.dimacs,s,0,,0
dimacs/polblogs.graph.dimacs,0.20s,560,0,0,0,425,0,420,105,0,0,0,1,correct
dimacs/PGPgiantcompo.graph.dimacs,0.71s,4342,0,4,0,3409,0,3366,372,243,1,1,1,correct
dimacs/whitaker3.graph.dimacs,s,0,,0
dimacs/crack.graph.dimacs,32.58s,5637,0,77,0,3107,0,3085,1250,519,35,2,1,correct
dimacs/fe_4elt2.graph.dimacs,s,0,,0
dimacs/as-22july06.graph.dimacs,2.64s,3303,0,0,0,3286,0,3283,12,0,0,0,1,correct
dimacs/cs4.graph.dimacs,s,0,,0
dimacs/4elt.graph.dimacs,s,0,,0
dimacs/cond-mat.graph.dimacs,3.46s,9436,0,4,0,3948,0,3864,2125,1337,0,1,1,correct
dimacs/cti.graph.dimacs,s,0,,0
dimacs/memplus.graph.dimacs,1.47s,10072,0,2,0,5172,0,5130,2470,0,0,1,1,correct
dimacs/fe_sphere.graph.dimacs,s,0,,0
dimacs/wing_nodal.graph.dimacs,s,0,,0
dimacs/t60k.graph.dimacs,s,0,,0
snap/as20000102.txt.dimacs,0.31s,1052,0,0,0,1044,0,1044,4,0,0,0,1,correct
snap/email-Eu-core.txt.dimacs,0.96s,579,0,24,0,153,0,149,214,120,27,1,1,correct
snap/ca-GrQc.txt.dimacs,1.91s,2783,0,8,0,1579,0,1561,447,303,0,1,1,correct
snap/p2p-Gnutella08.txt.dimacs,0.28s,2054,0,0,0,2051,0,2051,3,0,0,0,1,correct
snap/ca-HepTh.txt.dimacs,1.67s,4981,0,7,0,3334,0,3276,757,205,0,1,1,correct
snap/p2p-Gnutella09.txt.dimacs,0.56s,2574,0,0,0,2563,0,2563,10,0,0,0,1,correct
snap/p2p-Gnutella06.txt.dimacs,0.42s,3405,0,0,0,3404,0,3404,1,0,0,0,1,correct
snap/p2p-Gnutella05.txt.dimacs,0.43s,3428,0,0,0,3427,0,3427,1,0,0,0,1,correct
snap/p2p-Gnutella04.txt.dimacs,0.62s,4348,0,0,0,4345,0,4345,0,0,0,0,1,correct
snap/p2p-Gnutella25.txt.dimacs,1.28s,6017,0,0,0,6013,0,6013,4,0,0,0,1,correct
snap/facebook_combined.txt.dimacs,s,0,,0
snap/ca-CondMat.txt.dimacs,7.15s,13521,0,4,0,5552,0,5408,3117,1921,0,1,1,correct
snap/ca-HepPh.txt.dimacs,57.23s,7012,0,11,0,3184,0,3119,1177,1531,0,1,1,correct
snap/email-Enron.txt.dimacs,5.93s,14437,0,4,0,7576,0,7411,2977,1134,0,1,1,correct
snap/ca-AstroPh.txt.dimacs,41.31s,12012,0,5,0,3310,0,3237,3017,2920,12,1,1,correct
snap/soc-sign-Slashdot081106.txt.dimacs,54.75s,19614,0,0,0,19503,0,19499,64,2,0,0,1,correct
snap/soc-sign-Slashdot090216.txt.dimacs,60.78s,21305,0,0,0,21168,0,21160,80,3,0,0,1,correct
snap/soc-sign-Slashdot090221.txt.dimacs,61.04s,21314,0,2,0,21138,0,21131,106,0,0,1,1,correct
snap/soc-Epinions1.txt.dimacs,25.84s,22280,0,4,0,21394,0,21315,456,82,0,1,1,correct
snap/soc-Slashdot0811.txt.dimacs,33.55s,24046,0,1,0,23564,0,23530,249,16,0,1,1,correct
snap/soc-sign-epinions.txt.dimacs,122.50s,28184,0,1,0,27819,0,27798,200,26,1,1,1,correct
snap/soc-Slashdot0902.txt.dimacs,37.36s,25770,0,0,0,24935,0,24832,565,33,1,1,1,correct
snap/loc-gowalla_edges.txt.dimacs,313.63s,84222,0,249,0,74735,0,73892,18586,2468,802,23,1,correct
snap/amazon0302.txt.dimacs,s,0,,0
snap/com-amazon.ungraph.txt.dimacs,s,0,,0
snap/com-dblp.ungraph.txt.dimacs,s,0,,0
snap/web-NotreDame.txt.dimacs,s,0,,0
snap/twitter_combined.txt.dimacs,s,0,,0
snap/roadNet-PA.txt.dimacs,s,0,,0
snap/web-Stanford.txt.dimacs,s,0,,0
snap/roadNet-TX.txt.dimacs,s,0,,0
