file,time_in_seconds,solution_size,recursive_steps,first_lower_bound_difference,high_degree_rules,degree_zero_rules,extreme_reduction_rules,degree one rules,degree two rules,domination rules,lower_bounds,finished,solution_size_verified
random/000002_000000000002.input,0.13s,0,0,0,0,0,0,0,0,0,0,0,1,correct
random/000002_000000000006.input,0.13s,1,0,0,0,1,0,1,0,0,0,0,1,correct
random/000002_000000000012.input,0.13s,2,0,0,0,2,0,2,0,0,0,0,1,correct
random/000002_000000000020.input,0.09s,2,0,0,0,2,0,2,0,0,0,0,1,correct
random/000004_000000000004.input,0.09s,0,0,0,0,0,0,0,0,0,0,0,1,correct
random/000004_000000000012.input,0.09s,4,0,0,0,4,0,4,0,0,0,0,1,correct
random/000004_000000000024.input,0.09s,4,0,0,0,4,0,4,0,0,0,0,1,correct
random/000004_000000000040.input,0.13s,4,0,0,0,4,0,4,0,0,0,0,1,correct
random/000006_000000000007.input,0.13s,1,0,0,0,1,0,1,0,0,0,0,1,correct
random/000006_000000000018.input,0.11s,4,0,0,0,4,0,4,0,0,0,0,1,correct
random/000006_000000000036.input,0.09s,4,0,0,0,4,0,4,0,0,0,0,1,correct
random/000006_000000000060.input,0.13s,5,0,0,0,5,0,5,0,0,0,0,1,correct
random/000008_000000000009.input,0.09s,1,0,0,0,1,0,1,0,0,0,0,1,correct
random/000008_000000000024.input,0.09s,5,0,0,0,5,0,5,0,0,0,0,1,correct
random/000008_000000000048.input,0.09s,7,0,0,0,7,0,7,0,0,0,0,1,correct
random/000008_000000000080.input,0.09s,7,0,0,0,7,0,7,0,0,0,0,1,correct
random/000010_000000000012.input,0.09s,2,0,0,0,2,0,2,0,0,0,0,1,correct
random/000010_000000000030.input,0.13s,8,0,0,0,8,0,8,0,0,0,0,1,correct
random/000010_000000000060.input,0.09s,10,0,0,0,10,0,10,0,0,0,0,1,correct
random/000010_000000000100.input,0.10s,10,0,0,0,10,0,10,0,0,0,0,1,correct
random/000012_000000000014.input,0.09s,1,0,0,0,1,0,1,0,0,0,0,1,correct
random/000012_000000000036.input,0.09s,10,0,0,0,10,0,10,0,0,0,0,1,correct
random/000012_000000000072.input,0.09s,11,0,0,0,11,0,11,0,0,0,0,1,correct
random/000012_000000000120.input,0.09s,11,0,0,0,11,0,11,0,0,0,0,1,correct
random/000014_000000000016.input,0.13s,2,0,0,0,2,0,2,0,0,0,0,1,correct
random/000014_000000000042.input,0.09s,8,0,0,0,8,0,8,0,0,0,0,1,correct
random/000014_000000000084.input,0.13s,13,0,0,0,13,0,13,0,0,0,0,1,correct
random/000014_000000000140.input,0.13s,13,0,0,0,13,0,13,0,0,0,0,1,correct
random/000016_000000000019.input,0.09s,1,0,0,0,1,0,1,0,0,0,0,1,correct
random/000016_000000000048.input,0.13s,11,0,0,0,11,0,11,0,0,0,0,1,correct
random/000016_000000000096.input,0.09s,15,0,0,0,15,0,15,0,0,0,0,1,correct
random/000016_000000000160.input,0.09s,15,0,0,0,15,0,15,0,0,0,0,1,correct
random/000018_000000000021.input,0.13s,2,0,0,0,2,0,2,0,0,0,0,1,correct
random/000018_000000000054.input,0.13s,11,0,0,0,11,0,11,0,0,0,0,1,correct
random/000018_000000000108.input,0.09s,15,0,0,0,15,0,15,0,0,0,0,1,correct
random/000018_000000000180.input,0.09s,17,0,0,0,17,0,17,0,0,0,0,1,correct
random/000020_000000000024.input,0.13s,2,0,0,0,2,0,2,0,0,0,0,1,correct
random/000020_000000000060.input,0.09s,15,0,0,0,15,0,15,0,0,0,0,1,correct
random/000020_000000000120.input,0.09s,18,0,0,0,18,0,18,0,0,0,0,1,correct
random/000020_000000000200.input,0.09s,18,0,0,0,18,0,18,0,0,0,0,1,correct
random/000022_000000000026.input,0.13s,3,0,0,0,3,0,3,0,0,0,0,1,correct
random/000022_000000000066.input,0.09s,15,0,0,0,15,0,15,0,0,0,0,1,correct
random/000022_000000000132.input,0.09s,19,0,0,0,19,0,19,0,0,0,0,1,correct
random/000022_000000000220.input,0.09s,20,0,0,0,20,0,20,0,0,0,0,1,correct
