Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,12,0.2,0,300.0,-1,0.2,0.0,1,0.0,0,0.2,SAT,,2.041,
2,1,14,300.0,0,300.0,-1,0.0,0.0,0,0.0,1,0.2,TIMEOUT,,303.245,
3,2,14,300.0,0,300.0,-1,0.0,0.0,0,0.0,1,0.2,TIMEOUT,,303.247,
4,2,12,0.16,0,1.2639006677746774,-1,0.16,0.0,1,0.0,1,0.36,SAT,,2.04,
5,2,10,0.19,0,300.0,-1,0.19,0.0,1,0.0,1,0.55,SAT,,2.017,
6,3,14,300.0,0,300.0,-1,0.0,0.0,0,0.0,1,0.55,TIMEOUT,,303.251,
7,3,12,0.63,0,1.4602006491005421,-1,0.63,0.0,1,0.0,1,1.1800000000000002,SAT,,2.019,
8,2,19,0.69,0,300.0,-1,0.69,0.0,1,0.0,2,1.87,SAT,,2.037,
9,4,19,0.66,0,1.8996002416789532,-1,0.66,0.0,1,0.0,2,2.5300000000000002,SAT,,2.044,
10,4,14,300.0,0,300.0,-1,0.0,0.0,0,0.0,2,2.5300000000000002,TIMEOUT,,303.242,
11,4,12,0.15,0,1.2522000338613988,-1,0.15,0.0,1,0.0,2,2.68,SAT,,2.014,
12,4,10,0.23,0,1.3055005002498627,-1,0.23,0.0,1,0.0,2,2.91,SAT,,2.018,
13,2,16,229.56,0,300.0,-1,229.56,0.0,1,0.0,2,232.47,SAT,,230.191,
14,5,10,0.18,0,1.2496001351356507,-1,0.18,0.0,1,0.0,2,232.65,SAT,,2.038,
15,5,14,300.0,0,300.0,-1,0.0,0.0,0,0.0,2,232.65,TIMEOUT,,303.234,
16,5,16,231.97,0,299.4462005313218,-1,231.97,0.0,1,0.0,2,464.62,SAT,,232.196,
17,2,18,300.0,0,300.0,-1,0.0,0.0,0,0.0,3,464.62,TIMEOUT,,303.29,
18,6,18,300.0,0,300.0,-1,0.0,0.0,0,0.0,3,464.62,TIMEOUT,,303.282,
19,6,12,0.2,0,2.1102000292122365,-1,0.2,0.0,1,0.0,3,464.82,SAT,,2.043,
20,6,19,0.62,0,1.8502007130265237,-1,0.62,0.0,1,0.0,3,465.44,SAT,,2.04,
21,6,16,230.91,0,300.0,-1,230.91,0.0,1,0.0,3,696.35,SAT,,232.201,
22,6,14,300.0,0,300.0,-1,0.0,0.0,0,0.0,3,696.35,TIMEOUT,,303.252,
23,2,21,1.78,0,300.0,-1,1.78,0.0,1,0.0,3,698.13,SAT,,2.036,
24,7,14,300.0,0,300.0,-1,0.0,0.0,0,0.0,3,698.13,TIMEOUT,,303.235,
25,7,18,300.0,0,300.0,-1,0.0,0.0,0,0.0,3,698.13,TIMEOUT,,303.259,
26,7,16,228.8,0,299.43320031126143,-1,228.8,0.0,1,0.0,3,926.9300000000001,SAT,,230.191,
27,7,12,0.15,0,5.664400335747003,-1,0.15,0.0,1,0.0,3,927.08,SAT,,2.015,
28,7,19,0.6,0,5.4694006669998165,-1,0.6,0.0,1,0.0,3,927.6800000000001,SAT,,2.013,
29,7,10,0.22,0,4.689400539147854,-1,0.22,0.0,1,0.0,3,927.9000000000001,SAT,,2.014,
30,7,21,1.37,0,4.403400056409836,-1,1.37,0.0,1,0.0,3,929.2700000000001,SAT,,2.013,
31,7,25,62.16,0,300.0,-1,62.16,0.0,1,0.0,4,991.4300000000001,SAT,,64.084,
32,8,16,229.28,0,298.4426003958762,-1,229.28,0.0,1,0.0,4,1220.71,SAT,,230.193,
33,7,26,300.0,0,300.0,-1,0.0,0.0,0,0.0,4,1220.71,TIMEOUT,,303.255,
34,9,14,300.0,0,300.0,-1,0.0,0.0,0,0.0,4,1220.71,TIMEOUT,,303.241,
35,9,21,1.38,0,3.566200703728199,-1,1.38,0.0,1,0.0,4,1222.0900000000001,SAT,,2.043,
36,9,19,0.47,0,1.7722001190960408,-1,0.47,0.0,1,0.0,4,1222.5600000000002,SAT,,2.014,
37,9,26,300.0,0,300.0,-1,0.0,0.0,0,0.0,4,1222.5600000000002,TIMEOUT,,303.287,
38,9,18,300.0,0,300.0,-1,0.0,0.0,0,0.0,4,1222.5600000000002,TIMEOUT,,303.278,
39,9,16,236.53,0,298.80140022223,-1,236.53,0.0,1,0.0,4,1459.0900000000001,SAT,,238.205,
40,7,20,0.67,0,300.0,-1,0.67,0.0,1,0.0,5,1459.7600000000002,SAT,,2.027,
41,4,20,0.55,0,1.7878002378821374,-1,0.55,0.0,1,0.0,5,1460.3100000000002,SAT,,2.019,
42,4,25,60.45,0,83.66440004517436,-1,60.45,0.0,1,0.0,5,1520.7600000000002,SAT,,62.069,
43,4,21,1.36,0,5.079400603073835,-1,1.36,0.0,1,0.0,5,1522.1200000000001,SAT,,2.023,
44,4,16,237.17,0,300.0,-1,237.17,0.0,1,0.0,5,1759.2900000000002,SAT,,238.212,
45,4,18,300.0,0,300.0,-1,0.0,0.0,0,0.0,5,1759.2900000000002,TIMEOUT,,303.278,
46,4,26,300.0,0,300.0,-1,0.0,0.0,0,0.0,5,1759.2900000000002,TIMEOUT,,303.265,
