1: constrained_branching='1', dom_opt='1', f_clique_lb='1', f_clique_lb_c='1', f_deg2='1', f_deg2_heur='1', f_deg3='1', f_dom='1', f_lp='1', f_lp_lb='1', f_lp_lb_c='1', lb_opt='1', lb_opt_c='1', limit_kern_branch='500', limit_kern_start='500'
2: constrained_branching='1', dom_opt='0', f_clique_lb='14', f_clique_lb_c='3', f_deg2='5', f_deg2_heur='7', f_deg3='7', f_dom='1', f_lp='7', f_lp_lb='4', f_lp_lb_c='4', lb_opt='0', lb_opt_c='1', limit_kern_branch='128', limit_kern_start='178'
3: constrained_branching='1', dom_opt='1', f_clique_lb='11', f_clique_lb_c='7', f_deg2='7', f_deg2_heur='6', f_deg3='4', f_dom='4', f_lp='1', f_lp_lb='13', f_lp_lb_c='3', lb_opt='0', lb_opt_c='1', limit_kern_branch='124', limit_kern_start='207'
4: constrained_branching='0', dom_opt='0', f_clique_lb='6', f_clique_lb_c='7', f_deg2='9', f_deg2_heur='8', f_deg3='2', f_dom='4', f_lp='8', f_lp_lb='11', f_lp_lb_c='1', lb_opt='0', lb_opt_c='1', limit_kern_branch='98', limit_kern_start='402'
5: constrained_branching='1', dom_opt='1', f_clique_lb='2', f_clique_lb_c='1', f_deg2='5', f_deg2_heur='1', f_deg3='5', f_dom='5', f_lp='7', f_lp_lb='7', f_lp_lb_c='5', lb_opt='1', lb_opt_c='1', limit_kern_branch='38', limit_kern_start='164'
6: constrained_branching='0', dom_opt='0', f_clique_lb='14', f_clique_lb_c='7', f_deg2='10', f_deg2_heur='5', f_deg3='10', f_dom='9', f_lp='2', f_lp_lb='11', f_lp_lb_c='6', lb_opt='0', lb_opt_c='1', limit_kern_branch='237', limit_kern_start='342'
7: constrained_branching='0', dom_opt='1', f_clique_lb='15', f_clique_lb_c='10', f_deg2='6', f_deg2_heur='8', f_deg3='3', f_dom='3', f_lp='8', f_lp_lb='15', f_lp_lb_c='8', lb_opt='1', lb_opt_c='0', limit_kern_branch='494', limit_kern_start='488'
8: constrained_branching='0', dom_opt='1', f_clique_lb='15', f_clique_lb_c='5', f_deg2='4', f_deg2_heur='4', f_deg3='8', f_dom='3', f_lp='8', f_lp_lb='2', f_lp_lb_c='4', lb_opt='1', lb_opt_c='0', limit_kern_branch='209', limit_kern_start='130'
9: constrained_branching='0', dom_opt='0', f_clique_lb='4', f_clique_lb_c='5', f_deg2='9', f_deg2_heur='3', f_deg3='8', f_dom='7', f_lp='2', f_lp_lb='8', f_lp_lb_c='1', lb_opt='1', lb_opt_c='1', limit_kern_branch='101', limit_kern_start='175'
10: constrained_branching='1', dom_opt='0', f_clique_lb='14', f_clique_lb_c='5', f_deg2='5', f_deg2_heur='7', f_deg3='7', f_dom='1', f_lp='9', f_lp_lb='4', f_lp_lb_c='4', lb_opt='0', lb_opt_c='1', limit_kern_branch='68', limit_kern_start='178'
11: constrained_branching='1', dom_opt='1', f_clique_lb='15', f_clique_lb_c='2', f_deg2='9', f_deg2_heur='9', f_deg3='9', f_dom='7', f_lp='2', f_lp_lb='11', f_lp_lb_c='2', lb_opt='1', lb_opt_c='0', limit_kern_branch='461', limit_kern_start='276'
12: constrained_branching='0', dom_opt='0', f_clique_lb='10', f_clique_lb_c='7', f_deg2='7', f_deg2_heur='5', f_deg3='2', f_dom='4', f_lp='8', f_lp_lb='13', f_lp_lb_c='1', lb_opt='0', lb_opt_c='1', limit_kern_branch='98', limit_kern_start='170'
13: constrained_branching='1', dom_opt='0', f_clique_lb='15', f_clique_lb_c='4', f_deg2='4', f_deg2_heur='10', f_deg3='3', f_dom='9', f_lp='5', f_lp_lb='14', f_lp_lb_c='7', lb_opt='0', lb_opt_c='0', limit_kern_branch='395', limit_kern_start='344'
14: constrained_branching='0', dom_opt='0', f_clique_lb='10', f_clique_lb_c='3', f_deg2='7', f_deg2_heur='8', f_deg3='5', f_dom='4', f_lp='7', f_lp_lb='13', f_lp_lb_c='3', lb_opt='0', lb_opt_c='1', limit_kern_branch='36', limit_kern_start='399'
15: constrained_branching='0', dom_opt='1', f_clique_lb='13', f_clique_lb_c='8', f_deg2='8', f_deg2_heur='5', f_deg3='5', f_dom='3', f_lp='1', f_lp_lb='3', f_lp_lb_c='3', lb_opt='1', lb_opt_c='1', limit_kern_branch='467', limit_kern_start='189'
16: constrained_branching='0', dom_opt='0', f_clique_lb='11', f_clique_lb_c='3', f_deg2='7', f_deg2_heur='8', f_deg3='2', f_dom='4', f_lp='8', f_lp_lb='11', f_lp_lb_c='3', lb_opt='0', lb_opt_c='1', limit_kern_branch='41', limit_kern_start='402'
17: constrained_branching='0', dom_opt='0', f_clique_lb='12', f_clique_lb_c='8', f_deg2='8', f_deg2_heur='9', f_deg3='8', f_dom='1', f_lp='4', f_lp_lb='6', f_lp_lb_c='3', lb_opt='1', lb_opt_c='1', limit_kern_branch='259', limit_kern_start='42'
18: constrained_branching='0', dom_opt='0', f_clique_lb='14', f_clique_lb_c='1', f_deg2='2', f_deg2_heur='3', f_deg3='4', f_dom='9', f_lp='4', f_lp_lb='15', f_lp_lb_c='2', lb_opt='0', lb_opt_c='0', limit_kern_branch='17', limit_kern_start='469'
19: constrained_branching='1', dom_opt='0', f_clique_lb='9', f_clique_lb_c='7', f_deg2='3', f_deg2_heur='1', f_deg3='1', f_dom='10', f_lp='7', f_lp_lb='7', f_lp_lb_c='8', lb_opt='1', lb_opt_c='0', limit_kern_branch='491', limit_kern_start='247'
20: constrained_branching='0', dom_opt='0', f_clique_lb='14', f_clique_lb_c='1', f_deg2='2', f_deg2_heur='3', f_deg3='2', f_dom='9', f_lp='2', f_lp_lb='9', f_lp_lb_c='2', lb_opt='0', lb_opt_c='0', limit_kern_branch='17', limit_kern_start='469'
21: constrained_branching='1', dom_opt='0', f_clique_lb='6', f_clique_lb_c='7', f_deg2='1', f_deg2_heur='9', f_deg3='9', f_dom='5', f_lp='5', f_lp_lb='3', f_lp_lb_c='2', lb_opt='0', lb_opt_c='0', limit_kern_branch='457', limit_kern_start='47'
22: constrained_branching='1', dom_opt='0', f_clique_lb='14', f_clique_lb_c='3', f_deg2='5', f_deg2_heur='7', f_deg3='5', f_dom='1', f_lp='6', f_lp_lb='4', f_lp_lb_c='4', lb_opt='0', lb_opt_c='1', limit_kern_branch='128', limit_kern_start='402'
23: constrained_branching='0', dom_opt='1', f_clique_lb='15', f_clique_lb_c='2', f_deg2='3', f_deg2_heur='7', f_deg3='7', f_dom='5', f_lp='4', f_lp_lb='10', f_lp_lb_c='9', lb_opt='1', lb_opt_c='0', limit_kern_branch='200', limit_kern_start='450'
24: constrained_branching='0', dom_opt='0', f_clique_lb='11', f_clique_lb_c='2', f_deg2='3', f_deg2_heur='8', f_deg3='2', f_dom='4', f_lp='8', f_lp_lb='11', f_lp_lb_c='3', lb_opt='0', lb_opt_c='1', limit_kern_branch='41', limit_kern_start='402'
25: constrained_branching='0', dom_opt='0', f_clique_lb='7', f_clique_lb_c='3', f_deg2='5', f_deg2_heur='5', f_deg3='2', f_dom='5', f_lp='7', f_lp_lb='3', f_lp_lb_c='5', lb_opt='1', lb_opt_c='1', limit_kern_branch='441', limit_kern_start='219'
